iter	Passed	Remaining
193	2455	5479
194	2464	5459
195	2475	5443
196	2487	5430
197	2499	5414
198	2510	5399
199	2524	5389
200	2536	5376
201	2551	5367
202	2563	5354
203	2574	5338
204	2587	5327
205	2599	5312
206	2612	5300
207	2620	5278
208	2631	5262
209	2643	5248
210	2659	5242
211	2671	5230
212	2681	5212
213	2691	5194
214	2703	5179
215	2721	5179
216	2733	5164
217	2748	5155
218	2755	5134
219	2770	5124
220	2781	5110
221	2793	5096
222	2808	5087
223	2819	5072
224	2828	5054
225	2842	5043
226	2857	5035
227	2870	5023
228	2882	5009
229	2894	4995
230	2907	4985
231	2919	4970
232	2931	4957
233	2941	4939
234	2952	4925
235	2965	4912
236	2976	4897
237	2986	4881
238	2998	4867
239	3008	4851
240	3018	4835
241	30242	3074242	30243	3092243	30244	3102244	30245	3117	4828
246	3128	4813
247	3142	4802
248	3154	4789
249	3170	4781
250	3183	4768
251	3195	4754
252	3204	4737
253	3215	4721
254	3226	4706
255	3236	4690
256	3247256	32257	3259257	32258	3273	4651
259	3297	4655
260	3307	4638
261	3322	4628
262	3335	4616
263	3346	4601
264	3356	4585
265	3367	4570
266	3379	4555
267	3389	4540
268	3400	4525
269	3411	4511
270	3425	4500
271	3437	4486
272	3449	4472
273	3464	4463
274	3475	4448
275	3485	4433
276	3496276	34277	3511277	34278	3523	4395
279	3535279	34280	3547280	34281	3557281	35282	3573282	35283	3585	4330
284	3598284	35285	3612285	35286	3627286	35287	3638287	35288	3648288	35289	3660289	36290	3672290	36291	3685	4228
292	3697	4214
293	3707293	36294	3720	4186
295	3732	4173
296	3743	4159
297	3756297	37298	3770	4135
299	3784	4124
300	3797	4112
301	3809	4099
302	3820	4085
303	3833303	37304	3848	4062
305	3859	4048
306	3873	4037
307	3885	4023
308	3897	4010
309	3910	3998
310	3925	3988
311	3937	3975
312	3950	3963
313	3962	3950
314	3975	3938
315	3986	3923
316	3997	3909
317	4010	3896
318	4023	3884
319	4035	3871
320	4046	3857
321	4058	3844
322	4069	3830
323	4080	3816
324	4092	3802
325	4105	3791
326	4119	3779
327	4148	3781
328	4160	3768
329	4169	3752
330	4180	3738
331	4192	3725
332	4206	3713
333	4219	3701
334	4231	3688
335	4245	3676
336	4258	3664
337	4272	3653
338	4285	3641
339	4296	3626
340	4312	3617
341	4329	3608
342	4347	3599
343	4360	3586
344	4371	3573
345	4383	3560
346	4393	3545
347	4409	3534
348	4421	3521
349	4433	3508
350	4443	3494
351	4455	3480
352	4467	3467
353	4479	3454
354	4491	3441
355	4506	3430
356	4517	3416
357	4529	3403
358	4541	3390
359	4553	3377
360	4565	3364
361	4577	3350
362	4589	3337
363	4602	3325
364	4617	3314
365	4630	3301
366	4643	3289
367	4655	3276
368	4668	3264
369	4681	3251
370	4692	3237
371	4702	3223
372	4714	3210
373	4727	3197
374	4737	3183
375	4748	3169
376	4758	3155
377	4770	3142
378	4784	3130
379	4796	3117
380	4809	3105
381	4822	3093
382	4834	3079
383	4845	3066
384	4859	3054
385	4871	3041
386	4881	3027
387	4893	3014
388	4907	3002
389	4919	2989
390	4933	2977
391	4945	2964
392	4958	2952
393	4971	2940
394	4981	2925
395	4994	2913
396	5007	2900
397	5020	2888
398	5034	2876
399	5045	2863
400	5057	2850
401	5068	2837
402	5082	2824
403	5093	2811
404	5105	2798
405	5116	2784
406	5131	2773
407	5144	2761
408	5158	2749
409	5169	2736
410	5181	2722
411	5194	2710
412	5207	2698
413	5220	2685
414	5232	2672
415	5243	2659
416	5255	2646
417	5267	2633
418	5279	2620
419	5291	2607
420	5304	2595
421	5315	2582
422	5328	2569
423	5343	2558
424	5355	2545
425	5367	2532
426	5379	2519
427	5392	2507
428	5405	2494
429	5421	2483
430	5436	2472
431	5449	2459
432	5460	2446
433	5471	2432
434	5483	2420
435	5494	2406
436	5504	2393
437	5516	2380
438	5530	2368
439	5542	2355
440	5554	2342
441	5567	2330
442	5578	2317
443	5594	2305
444	5610	2294
445	5623	2281
446	5634	2268
447	5648	2256
448	5660	2244
449	5676	2232
450	5690	2220
451	5703	2208
452	5713	2194
453	5727	2182
454	5743	2171
455	5754	2157
456	5766	2145
457	5777	2131
458	5788	2118
459	5799	2105
460	5810	2092
461	5825	2080
462	5839	2068
463	5852	2056
464	5867	2044
465	5885	2033
466	5896	2020
467	5908	2007
468	5920	1994
469	5932	1981
470	5943	1968
471	5956	1956
472	5968	1943
473	5981	1930
474	5993	1917
475	6005	1904
476	6018	1892
477	6028	1879
478	6041	1866
479	6052	1853
480	6064	1840
481	6074	1827
482	6086	1814
483	6099	1802
484	6113	1789
485	6125	1777
486	6139	1764
487	6156	1753
488	6172	1741
489	6183	1728
490	6195	1715
491	6210	1704
492	6221	1691
493	6233	1678
494	6244	1665
495	6256	1652
496	6268	1639
497	6281	1627
498	6299	1615
499	6315	1604
500	6329	1591
501	6342	1579
502	6355	1566
503	6372	1555
504	6384	1542
505	6396	1529
506	6410	1517
507	6424	1505
508	6436	1492
509	6448	1479
510	6460	1466
511	6471	1453
512	6482	1440
513	6495	1427
514	6505	1414
515	6517	1402
516	6529	1389
517	6538	1375
518	6550	1363
519	6563	1350
520	6576	1337
521	6588	1325
522	6599	1312
523	6613	1299
524	6626	1287
525	6638	1274
526	6650	1262
527	6663	1249
528	6676	1236
529	6688	1224
530	6699	1211
531	6710	1198
532	6723	1185
533	6736	1173
534	6751	1160
535	6760	1147
536	6775	1135
537	6787	1122
538	6802	1110
539	6813	1097
540	6824	1084
541	6835	1072
542	6850	1059
543	6865	1047
544	6877	1034
545	6891	1022
546	6903	1009
547	6914	996
548	6925	983
549	6939	971
550	6951	958
551	6963	946
552	6977	933
553	6990	921
554	7004	908
555	7016	895
556	7028	883
557	7041	870
558	7053	858
559	7068	845
560	7082	833
561	7095	820
562	7109	808
563	7123	795
564	7136	783
565	7149	770
566	7161	757
567	7173	745
568	7189	732
569	7199	719
570	7212	707
571	7225	694
572	7234	681
573	7244	668
574	7253	655
575	7262	643
576	7276	630
577	7287	617
578	7298	605
579	7308	592
580	7317	579
581	7327	566
582	7336	553
583	7346	540
584	7357	528
585	7367	515
586	7377	502
587	7386	489
588	7395	477
589	7404	464
590	7414	451
591	7423	438
592	7433	426
593	7441	413
594	7450	400
595	7460	388
596	7469	375
597	7479	362
598	7488	350
599	7498	337
600	7507	324
601	7517	312
602	7527	299
603	7537	287
604	7545	274
605	7554	261
606	7563	249
607	7572	236
608	7580	224
609	7590	211
610	7600	199
611	7611	186
612	7622	174
613	7632	161
614	7640	149
615	7651	136
616	7659	124
617	7666	111
618	7674	99
619	7682	86
620	7689	74
621	7698	61
622	7706	49
623	7715	37
624	7725	24
625	7733	12
626	7741	0
65	0
