iter	Logloss
0	0.6868982408
1	0.6806957652
2	0.6746223227
3	0.6684276247
4	0.6621142637
5	0.656213853
6	0.6513794093
7	0.6454383332
8	0.6399839086
9	0.6350843559
10	0.6306013089
11	0.6249980741
12	0.6198023824
13	0.6144367699
14	0.6090844164
15	0.6041607162
16	0.5989063967
17	0.5943925358
18	0.5899163404
19	0.5854070719
20	0.5812035718
21	0.5765559372
22	0.5721911828
23	0.5677818743
24	0.5640451376
25	0.5593793925
26	0.5552396311
27	0.5507963977
28	0.5473116902
29	0.5434587349
30	0.5394119707
31	0.5366830178
32	0.5329073563
33	0.529274135
34	0.5260701596
35	0.5224722705
36	0.5191382251
37	0.5162376478
38	0.5133446258
39	0.5101542797
40	0.5069657113
41	0.5045378602
42	0.5014926947
43	0.4984573068
44	0.4956743555
45	0.4926578559
46	0.4900648247
47	0.4876047523
48	0.4850463497
49	0.4820030731
50	0.4794250785
51	0.476576944
52	0.4739013227
53	0.4718250164
54	0.4697622651
55	0.4672841933
56	0.464466132
57	0.4620825758
58	0.4596454657
59	0.4574056829
60	0.4556366263
61	0.4534838778
62	0.4512267622
63	0.4491532335
64	0.447258366
65	0.4453932012
66	0.4436413663
67	0.4418129041
68	0.4400702912
69	0.4381454616
70	0.4362107434
71	0.4345506835
72	0.4332132432
73	0.4313977806
74	0.4295510968
75	0.4279954781
76	0.426385824
77	0.4247966137
78	0.423549578
79	0.4219253688
80	0.4206700371
81	0.419435927
82	0.4182424453
83	0.4173343992
84	0.4156490067
85	0.414001613
86	0.4122922953
87	0.410880598
88	0.4093405344
89	0.4080368338
90	0.4063928475
91	0.4050631477
92	0.4035110474
93	0.4021454598
94	0.4009986803
95	0.3995065041
96	0.3978779987
97	0.3967679959
98	0.3953005596
99	0.3942220003
100	0.3929871494
101	0.3915431939
102	0.3903161577
103	0.3890685294
104	0.3879521194
105	0.3866648257
106	0.3859127378
107	0.3850269873
108	0.3840924606
109	0.383008494
110	0.3822401102
111	0.3811308481
112	0.3798372583
113	0.3788054753
114	0.3777191755
115	0.3765617297
116	0.3753558409
117	0.3745617913
118	0.373707151
119	0.3725967407
120	0.3717022498
121	0.3705656181
122	0.3696768307
123	0.3683663155
124	0.367215314
125	0.3661718276
126	0.3654022217
127	0.3648642383
128	0.3641006692
129	0.3635397606
130	0.3628452264
131	0.3620711391
132	0.3612423499
133	0.3603900798
134	0.3595847713
135	0.3583501427
136	0.3571932895
137	0.356389092
138	0.3554447137
139	0.3545420749
140	0.3539181682
141	0.3530160478
142	0.3518381211
143	0.3513799871
144	0.3506097886
145	0.3495838573
146	0.3489848387
147	0.3479615739
148	0.3473688514
149	0.3465482841
150	0.3457482718
151	0.3451836595
152	0.3445294945
153	0.3440009552
154	0.3435369325
155	0.3427366238
156	0.3419590922
157	0.3412715949
158	0.3406549843
159	0.3399368582
160	0.3392176952
161	0.3385976032
162	0.3380100658
163	0.3375022296
164	0.3369700608
165	0.3361855664
166	0.33553929
167	0.3347843503
168	0.3338241207
169	0.3330574776
170	0.3325709741
171	0.3321063588
172	0.3314570455
173	0.3306872914
174	0.3301423452
175	0.3296958405
176	0.3292023001
177	0.3287937201
178	0.328202331
179	0.3277571595
180	0.3272321386
181	0.3267031179
182	0.3259041055
183	0.3252103861
184	0.3242648227
185	0.3236283237
186	0.3232896675
187	0.3226296508
188	0.3221433325
189	0.3213895038
190	0.3205438262
191	0.3200459156
192	0.3192995683
193	0.3187283636
194	0.3181142714
195	0.3175334745
196	0.3170950436
197	0.3166134288
198	0.3158370083
199	0.3151727695
200	0.3145509738
201	0.3140541373
202	0.3134146014
203	0.3126574766
204	0.312257489
205	0.3119031295
206	0.3115616585
207	0.3112819264
208	0.3107323508
209	0.3102841424
210	0.3097701952
211	0.3092154901
212	0.3087487637
213	0.3081458564
214	0.307782812
215	0.3072596059
216	0.3067880093
217	0.3065671087
218	0.3063082834
219	0.3058924629
220	0.3055623804
221	0.3049246594
222	0.3045422823
