 ,Mean
533,180.995
534,159.171
535,184.836
536,131.451
537,162.185
538,155.751
539,160.873
540,146.140
541,175.194
542,192.392
543,151.510
544,192.103
545,187.371
546,173.643
547,172.506
548,156.106
549,177.556
550,161.053
551,171.223
552,155.566
553,168.654
554,194.915
555,180.683
556,165.448
557,183.187
558,165.971
559,173.821
560,179.416
561,164.063
562,133.766
563,156.368
564,177.461
565,159.303
566,166.509
567,177.783
568,176.140
569,179.306
570,190.204
571,177.141
572,168.389
573,178.994
574,148.688
575,193.589
576,151.222
577,175.592
578,167.584
579,193.021
580,145.012
581,188.620
582,165.148
583,170.919
584,141.388
585,178.302
586,168.298
587,157.225
588,184.791
589,159.583
590,181.390
591,165.423
592,171.053
593,174.488
594,172.648
595,166.485
596,172.626
597,167.265
598,170.956
599,171.214
600,161.955
601,184.487
602,183.062
603,147.493
604,186.574
605,191.652
606,170.509
607,185.143
608,167.859
609,180.074
610,182.201
611,186.820
612,180.169
613,179.596
614,186.404
615,207.188
616,177.963
617,169.262
618,144.185
619,145.768
620,172.380
621,139.815
622,137.945
623,119.123
624,198.971
625,159.353
626,184.463
627,156.724
628,172.512
629,168.920
630,120.224
631,163.884
632,173.033
633,195.979
634,176.227
635,166.429
636,155.891
637,180.463
638,158.636
639,193.479
640,175.748
641,159.902
642,158.372
643,199.079
644,177.083
645,138.125
646,157.918
647,163.572
648,144.834
649,180.726
650,165.898
651,166.436
652,171.461
653,178.060
654,133.030
655,149.488
656,163.548
657,192.724
658,181.785
659,173.029
660,167.213
661,178.181
662,180.000
663,187.702
664,145.438
665,177.001
666,189.996
667,139.554
668,146.841
669,129.094
670,178.831
671,163.562
672,143.356
673,157.212
674,183.156
675,159.554
676,134.784
677,157.523
678,181.438
679,166.405
680,156.177
681,163.929
682,161.700
683,197.332
684,179.356
685,150.576
686,188.388
687,172.877
688,186.596
689,188.823
690,174.643
691,166.801
692,180.474
693,179.808
694,159.854
695,192.401
696,186.200
697,177.943
698,132.357
699,188.516
700,188.960
701,144.139
702,158.690
703,137.544
704,106.538
705,114.638
706,130.240
707,101.157
708,170.520
709,155.106
710,107.783
711,151.821
712,180.363
713,164.475
714,158.920
715,185.455
716,192.838
717,184.458
718,181.653
719,174.250
720,172.500
721,192.401
722,161.944
723,184.588
724,195.000
725,186.590
726,163.050
727,204.169
728,174.310
729,151.202
730,160.902
731,148.603
732,168.629
733,183.137
734,140.402
735,166.005
736,157.682
737,165.528
738,162.772
739,157.183
740,142.840
741,145.644
742,192.360
743,187.064
744,97.206
745,118.974
746,171.081
747,155.833
748,190.528
749,144.610
750,143.310
751,118.100
752,160.128
753,146.937
754,136.178
755,145.136
756,176.745
757,166.224
758,179.281
759,106.004
760,125.605
761,157.976
762,156.604
763,146.806
764,153.931
765,130.724
766,110.298
767,111.409
768,137.906
769,152.833
770,155.104
771,157.200
772,120.107
773,108.453
774,180.665
775,114.899
776,166.531
777,127.607
778,154.016
779,132.159
780,141.871
781,139.998
782,148.979
783,128.323
784,104.890
785,175.132
786,162.726
787,136.459
788,159.426
789,135.715
790,118.121
791,125.223
792,166.047
793,169.619
794,164.449
795,168.381
796,170.492
797,175.049
798,176.877
799,167.513
800,185.770
801,166.458
802,178.975
803,188.561
804,146.361
805,170.267
806,177.490
807,158.667
808,166.424
809,135.353
810,137.153
811,151.936
812,134.877
813,132.209
814,133.715
815,121.615
816,146.231
817,153.757
818,189.857
819,160.180
820,154.848
821,157.543
822,159.426
823,135.715
824,118.121
825,125.223
826,166.047
827,169.619
828,164.449
829,168.381
830,162.095
831,175.049
832,176.877
833,167.513
834,185.770
835,166.458
836,178.975
837,188.561
838,146.361
839,170.267
840,177.490
841,164.384
842,166.424
843,135.353
844,137.153
845,151.936
846,134.877
847,132.209
848,133.715
849,121.615
850,146.231
851,153.757
852,148.779
853,154.848
854,157.543
855,167.500
856,188.422
857,163.810
858,164.848
859,161.787
860,138.840
861,139.474
862,137.954
863,165.627
864,166.521
865,142.336
866,128.144
867,166.614
868,156.270
869,130.255
870,135.855
871,169.371
872,144.984
873,124.611
874,163.851
875,149.151
876,148.051
877,152.895
878,125.305
879,179.319
880,150.615
881,125.463
882,139.076
883,176.517
884,170.578
885,178.282
886,147.814
887,165.438
888,132.797
889,193.190
890,145.389
891,103.602
892,144.649
893,169.135
894,168.017
895,119.753
896,160.469
897,160.426
898,195.613
899,170.288
900,197.634
901,164.626
902,166.479
903,152.114
904,183.634
905,145.698
906,208.535
907,164.497
908,163.782
909,178.233
910,157.737
911,152.701
912,171.322
913,138.796
914,179.139
915,169.100
916,176.288
917,166.076
918,157.577
919,163.959
920,156.566
921,139.257
922,172.698
923,165.893
924,210.837
925,151.559
926,167.364
927,105.890
928,165.449
929,177.982
930,165.895
931,171.208
932,161.953
933,136.072
934,126.186
935,137.054
936,117.629
937,158.193
938,146.629
939,165.600
940,157.667
941,165.625
942,161.096
943,153.321
944,155.833
945,137.534
946,161.724
947,143.643
948,145.183
949,172.033
950,140.534
951,190.253
952,178.864
953,126.099
954,161.681
955,165.163
956,179.394
957,152.442
958,125.737
959,157.565
960,148.017
961,149.819
962,122.358
963,159.398
964,156.705
965,124.567
966,142.791
967,148.476
968,152.163
969,151.420
970,146.628
971,179.481
972,162.026
973,161.392
974,151.481
975,189.458
976,176.504
977,183.338
978,175.618
979,165.804
980,172.216
981,172.772
982,108.098
983,115.033
984,182.186
985,210.052
986,183.494
987,189.641
988,147.947
989,189.449
990,145.128
991,167.369
992,161.922
993,124.376
994,190.987
995,178.743
996,161.662
997,167.801
998,152.304
999,153.533
1000,155.385
1001,157.008
1002,106.395
1003,177.212
1004,171.181
1005,176.141
1006,187.759
1007,142.024
1008,175.137
1009,176.521
1010,128.539
1011,152.161
1012,171.583
1013,173.433
1014,171.711
1015,159.401
1016,178.586
1017,162.725
1018,168.212
1019,167.499
1020,161.028
1021,139.041
1022,143.880
1023,182.143
1024,149.993
1025,145.211
1026,167.167
1027,149.480
1028,156.263
1029,150.255
1030,181.471
1031,153.868
1032,184.052
1033,163.451
1034,162.249
1035,183.342
1036,175.491
1037,199.919
1038,163.520
1039,164.608
1040,186.104
1041,153.687
1042,163.134
1043,190.324
1044,165.278
1045,174.232
1046,191.664
1047,174.455
1048,155.212
1049,172.490
1050,180.000
1051,195.760
1052,142.968
1053,119.655
1054,191.250
1055,147.716
1056,171.084
1057,144.870
1058,157.057
1059,151.735
1060,156.553
1061,169.200
1062,176.149
1063,172.742
1064,138.354
1065,165.615
1066,163.808
1067,175.455
1068,141.976
1069,146.364
1070,178.310
1071,164.772
1072,163.277
1073,163.632
1074,160.906
1075,182.184
1076,196.398
1077,156.080
1078,168.135
1079,172.960
1080,170.672
1081,180.891
1082,193.306
1083,177.931
1084,121.597
1085,164.830
1086,182.927
1087,151.226
1088,171.832
1089,163.420
1090,175.070
1091,172.287
1092,169.497
1093,143.692
1094,169.375
1095,144.289
1096,163.412
1097,161.586
1098,172.798
1099,190.378
1100,168.943
1101,168.624
1102,184.333
1103,133.321
1104,170.914
1105,178.324
1106,182.045
1107,151.557
1108,172.257
1109,176.642
1110,170.957
1111,164.855
1112,181.422
1113,194.356
1114,167.651
1115,173.596
1116,168.209
1117,178.705
1118,167.167
1119,184.094
1120,178.308
1121,186.413
1122,172.182
1123,150.903
1124,172.108
1125,140.631
1126,177.564
1127,158.840
1128,166.159
1129,184.837
1130,137.785
1131,146.885
1132,170.270
1133,165.041
1134,181.226
1135,172.683
1136,182.430
1137,182.823
1138,180.791
1139,165.273
1140,160.086
1141,185.248
1142,169.040
1143,179.925
1144,175.872
1145,180.005
1146,182.565
1147,195.150
1148,191.845
1149,176.800
1150,154.904
1151,181.257
1152,172.205
1153,191.250
1154,185.707
1155,178.500
1156,120.155
1157,132.333
1158,176.382
1159,181.876
1160,176.002
1161,160.493
1162,170.110
1163,171.813
1164,188.793
1165,171.282
1166,147.037
1167,178.860
1168,172.701
1169,209.376
1170,123.459
1171,177.600
1172,166.596
1173,171.148
1174,144.556
1175,161.087
1176,214.093
1177,144.002
1178,189.839
1179,143.173
1180,171.398
1181,182.750
1182,182.033
1183,137.090
1184,141.679
1185,163.197
1186,187.996
1187,161.237
1188,158.597
1189,183.272
1190,161.540
1191,99.795
1192,183.718
1193,207.085
1194,177.323
1195,134.853
1196,171.300
1197,116.842
1198,110.173
1199,114.774
1200,116.950
1201,166.023
1202,196.700
1203,179.235
1204,158.774
1205,178.738
1206,181.313
1207,187.828
1208,170.834
1209,185.123
1210,185.282
1211,177.262
1212,171.902
1213,166.633
1214,166.901
1215,103.779
1216,139.891
1217,162.829
1218,172.495
1219,152.050
1220,168.218
1221,183.192
1222,217.762
1223,193.846
1224,179.467
1225,180.815
1226,171.509
1227,167.910
1228,184.655
1229,164.237
1230,162.098
1231,138.932
1232,174.452
1233,166.772
1234,169.000
1235,179.821
1236,147.833
1237,181.509
1238,199.805
1239,151.915
1240,162.957
1241,158.556
1242,173.795
1243,186.443
1244,179.088
1245,168.873
1246,162.370
1247,177.841
1248,155.737
1249,157.173
1250,178.030
1251,161.915
1252,197.227
1253,176.294
1254,197.332
1255,177.713
1256,175.451
1257,194.969
1258,172.632
1259,175.234
1260,156.102
1261,142.247
1262,122.708
1263,128.523
1264,148.442
1265,186.462
1266,136.290
1267,139.896
1268,193.320
1269,141.334
1270,154.620
1271,113.000
1272,124.617
1273,113.466
1274,159.791
1275,179.253
1276,167.821
1277,179.020
1278,168.426
1279,179.805
1280,136.327
1281,157.167
1282,162.956
1283,149.964
1284,176.160
1285,168.594
1286,168.867
1287,174.631
1288,192.955
1289,188.023
1290,175.270
1291,175.926
1292,191.750
1293,185.078
1294,187.006
1295,179.519
1296,182.303
1297,195.592
1298,171.678
1299,132.940
1300,176.481
1301,162.676
1302,192.113
1303,183.626
1304,189.816
1305,151.470
1306,142.958
1307,157.172
1308,165.538
1309,166.445
1310,172.530
1311,171.223
1312,160.022
1313,181.148
1314,164.855
1315,174.756
1316,142.546
1317,162.195
1318,143.143
1319,161.323
1320,136.453
1321,180.377
1322,179.923
1323,171.257
1324,153.230
1325,151.597
1326,121.923
1327,155.757
1328,173.602
1329,172.258
1330,149.048
1331,167.918
1332,193.674
1333,176.156
1334,200.273
1335,186.813
1336,173.127
1337,168.835
1338,175.930
1339,176.042
1340,166.607
1341,153.000
1342,168.233
1343,163.491
1344,170.286
1345,186.930
1346,166.820
1347,181.865
1348,168.630
1349,184.897
1350,182.677
1351,126.719
1352,157.578
1353,183.191
1354,205.481
1355,157.819
1356,172.728
1357,174.779
1358,205.057
1359,169.802
1360,175.607
1361,168.397
1362,180.887
1363,175.676
1364,164.835
1365,173.247
1366,182.561
1367,177.118
1368,188.814
1369,163.860
1370,128.576
1371,171.714
1372,167.012
