 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
640,8 pat OD ki67 (561)_0003_C001T001_colony_26.tiff,2661,195.238,67.304,50.340,114.348,0.877,678555,678555,1.337,0.748,0.972
641,8 pat OD ki67 (561)_0003_C001T001_colony_27.tiff,3136,213.480,73.379,54.414,33.658,0.865,799680,799680,1.349,0.742,0.974
642,8 pat OD ki67 (561)_0003_C001T001_colony_28.tiff,2514,194.409,69.736,45.901,9.929,0.836,641070,641070,1.519,0.658,0.962
643,8 pat OD ki67 (561)_0003_C001T001_colony_29.tiff,2295,185.238,68.155,42.874,29.844,0.840,585225,585225,1.590,0.629,0.970
644,8 pat OD ki67 (561)_0003_C001T001_colony_3.tiff,3049,209.723,74.343,52.219,41.114,0.871,777495,777495,1.424,0.702,0.977
645,8 pat OD ki67 (561)_0003_C001T001_colony_4.tiff,2440,186.066,64.463,48.193,145.941,0.886,622200,622200,1.338,0.748,0.972
646,8 pat OD ki67 (561)_0003_C001T001_colony_5.tiff,2683,194.066,65.175,52.414,100.497,0.895,684165,684165,1.243,0.804,0.970
647,8 pat OD ki67 (561)_0003_C001T001_colony_6.tiff,2700,198.066,69.304,49.604,30.408,0.865,688500,688500,1.397,0.716,0.973
648,8 pat OD ki67 (561)_0003_C001T001_colony_7.tiff,2032,172.066,55.488,46.627,119.447,0.862,518160,518160,1.190,0.840,0.960
649,8 pat OD ki67 (561)_0003_C001T001_colony_8.tiff,2541,220.894,69.164,46.777,20.979,0.654,647955,647955,1.479,0.676,0.932
650,8 pat OD ki67 (561)_0003_C001T001_colony_9.tiff,2522,189.581,64.324,49.921,25.129,0.882,643110,643110,1.289,0.776,0.972
651,8 pat OD ki67 (561)_0004_C001T001_colony_1.tiff,2805,201.823,68.593,52.067,19.208,0.865,715275,715275,1.317,0.759,0.966
652,8 pat OD ki67 (561)_0004_C001T001_colony_10.tiff,3310,220.208,67.032,62.871,116.827,0.858,844050,844050,1.066,0.938,0.964
653,8 pat OD ki67 (561)_0004_C001T001_colony_11.tiff,2510,188.409,63.026,50.706,131.990,0.889,640050,640050,1.243,0.805,0.971
654,8 pat OD ki67 (561)_0004_C001T001_colony_12.tiff,2311,180.752,56.945,51.672,24.521,0.889,589305,589305,1.102,0.907,0.968
655,8 pat OD ki67 (561)_0004_C001T001_colony_13.tiff,3083,221.037,82.238,47.732,21.440,0.793,786165,786165,1.723,0.580,0.959
656,8 pat OD ki67 (561)_0004_C001T001_colony_14.tiff,2468,188.652,64.101,49.022,45.170,0.871,629340,629340,1.308,0.765,0.969
657,8 pat OD ki67 (561)_0004_C001T001_colony_15.tiff,2796,202.894,73.396,48.504,158.399,0.854,712980,712980,1.513,0.661,0.972
658,8 pat OD ki67 (561)_0004_C001T001_colony_16.tiff,2555,189.581,63.663,51.099,166.914,0.893,651525,651525,1.246,0.803,0.972
659,8 pat OD ki67 (561)_0004_C001T001_colony_17.tiff,1870,165.238,59.501,40.016,55.762,0.861,476850,476850,1.487,0.673,0.966
660,8 pat OD ki67 (561)_0004_C001T001_colony_18.tiff,2280,185.238,67.952,42.721,39.229,0.835,581400,581400,1.591,0.629,0.961
661,8 pat OD ki67 (561)_0004_C001T001_colony_19.tiff,2391,183.924,60.484,50.332,38.029,0.888,609705,609705,1.202,0.832,0.967
662,8 pat OD ki67 (561)_0004_C001T001_colony_2.tiff,2433,209.723,66.095,46.869,8.305,0.695,620415,620415,1.410,0.709,0.948
663,8 pat OD ki67 (561)_0004_C001T001_colony_20.tiff,2183,180.995,62.732,44.308,38.445,0.837,556665,556665,1.416,0.706,0.966
664,8 pat OD ki67 (561)_0004_C001T001_colony_21.tiff,1603,147.439,45.704,44.657,73.861,0.927,408765,408765,1.023,0.977,0.971
665,8 pat OD ki67 (561)_0004_C001T001_colony_22.tiff,2251,183.723,66.762,42.929,44.406,0.838,574005,574005,1.555,0.643,0.954
666,8 pat OD ki67 (561)_0004_C001T001_colony_23.tiff,2015,169.338,57.235,44.825,39.553,0.883,513825,513825,1.277,0.783,0.969
