 ,Mean
533,98.289
534,179.379
535,157.494
536,124.975
537,131.687
538,125.417
539,178.349
540,134.683
541,123.305
542,142.982
543,136.708
544,141.151
545,182.602
546,138.980
547,141.494
548,104.225
549,122.830
550,104.676
551,144.150
552,124.249
553,126.011
554,162.264
555,157.233
556,167.297
557,151.001
558,182.009
559,168.158
560,158.281
561,135.875
562,179.871
563,196.297
564,160.116
565,170.855
566,115.068
567,199.158
568,152.605
569,156.719
570,160.187
571,173.151
572,158.068
573,197.174
574,172.287
575,169.133
576,189.031
577,163.219
578,152.914
579,170.833
580,116.498
581,198.667
582,154.932
583,157.202
584,141.387
585,173.785
586,183.645
587,144.629
588,157.151
589,212.364
590,165.699
591,145.877
592,147.996
593,144.534
594,169.714
595,181.642
596,172.404
597,144.947
598,138.345
599,191.330
600,155.283
601,117.043
602,146.512
603,202.725
604,183.745
605,170.513
606,163.232
607,170.745
608,146.316
609,158.796
610,165.507
611,142.676
612,149.555
613,160.471
614,135.020
615,158.054
616,162.764
617,156.126
618,151.522
619,181.082
620,162.357
621,143.370
622,164.107
623,138.656
624,174.520
625,136.169
626,140.389
627,156.198
628,192.275
629,174.333
630,156.494
631,155.470
632,150.753
633,155.771
