 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
608,1 pat p30 7 day ctrl 10x 3_colony_206.tiff,239,57.598,0.905,60945,60945,1.425,0.702,0.932,22.432,16.12
609,1 pat p30 7 day ctrl 10x 3_colony_207.tiff,414,76.426,0.891,105570,105570,1.419,0.705,0.948,27.351,19.272
610,1 pat p30 7 day ctrl 10x 3_colony_208.tiff,294,63.598,0.913,74970,74970,1.342,0.745,0.939,22.417,16.698
611,1 pat p30 7 day ctrl 10x 3_colony_209.tiff,242,58.77,0.88,61710,61710,1.336,0.749,0.929,20.286,15.189
612,1 pat p30 7 day ctrl 10x 3_colony_210.tiff,258,59.012,0.931,65790,65790,1.3,0.769,0.936,22.672,17.522
613,1 pat p30 7 day ctrl 10x 3_colony_211.tiff,519,85.841,0.885,132345,132345,1.224,0.817,0.94,28.436,23.239
614,1 pat p30 7 day ctrl 10x 3_colony_212.tiff,394,73.255,0.923,100470,100470,1.126,0.888,0.944,25.506,22.813
615,1 pat p30 7 day ctrl 10x 3_colony_213.tiff,220,54.77,0.922,56100,56100,1.365,0.733,0.936,21.535,16.85
616,1 pat p30 7 day ctrl 10x 3_colony_214.tiff,262,61.841,0.861,66810,66810,1.281,0.781,0.905,20.674,16.136
617,1 pat p30 7 day ctrl 10x 3_colony_215.tiff,224,59.941,0.783,57120,57120,1.633,0.612,0.884,24.511,17.506
618,1 pat p30 7 day ctrl 10x 3_colony_216.tiff,294,65.012,0.874,74970,74970,1.349,0.741,0.926,22.47,16.659
619,1 pat p30 7 day ctrl 10x 3_colony_217.tiff,254,60.77,0.864,64770,64770,1.142,0.876,0.909,19.214,16.831
620,1 pat p30 7 day ctrl 10x 3_colony_218.tiff,231,57.355,0.882,58905,58905,1.352,0.739,0.945,19.945,14.747
621,1 pat p30 7 day ctrl 10x 3_colony_219.tiff,327,68.912,0.865,83385,83385,1.584,0.631,0.934,25.681,16.212
622,1 pat p30 7 day ctrl 10x 3_colony_220.tiff,211,53.355,0.931,53805,53805,1.25,0.8,0.936,18.326,14.659
623,1 pat p30 7 day ctrl 10x 3_colony_221.tiff,254,59.255,0.909,64770,64770,1.124,0.889,0.922,19.068,16.961
624,1 pat p30 7 day ctrl 10x 3_colony_222.tiff,265,61.841,0.871,67575,67575,1.291,0.775,0.911,20.868,16.169
625,1 pat p30 7 day ctrl 10x 3_colony_223.tiff,176,49.941,0.887,44880,44880,1.491,0.671,0.912,21.946,14.853
626,1 pat p30 7 day ctrl 10x 3_colony_224.tiff,175,50.284,0.87,44625,44625,1.353,0.739,0.916,19.241,15.749
627,1 pat p30 7 day ctrl 10x 3_colony_225.tiff,248,60.426,0.854,63240,63240,1.422,0.703,0.908,21.19,14.902
628,1 pat p30 7 day ctrl 10x 3_colony_226.tiff,211,53.355,0.931,53805,53805,1.189,0.841,0.93,22.235,17.466
629,1 pat p30 7 day ctrl 10x 3_colony_227.tiff,337,68.083,0.914,85935,85935,1.163,0.86,0.935,22.337,19.21
630,1 pat p30 7 day ctrl 10x 3_colony_228.tiff,297,65.355,0.874,75735,75735,1.482,0.675,0.946,23.671,15.976
631,1 pat p30 7 day ctrl 10x 3_colony_229.tiff,386,74.426,0.876,98430,98430,1.246,0.803,0.938,25.866,21.265
632,1 pat p30 7 day ctrl 10x 3_colony_230.tiff,281,61.841,0.923,71655,71655,1.208,0.828,0.937,20.791,17.208
633,1 pat p30 7 day ctrl 10x 3_colony_231.tiff,673,102.225,0.809,171615,171615,1.692,0.591,0.935,42.251,25.072
634,1 pat p30 7 day ctrl 10x 3_colony_232.tiff,282,63.598,0.876,71910,71910,1.495,0.669,0.934,24.507,16.677
635,1 pat p30 7 day ctrl 10x 3_colony_233.tiff,252,61.012,0.851,64260,64260,1.572,0.636,0.921,22.458,14.287
636,1 pat p30 7 day ctrl 10x 3_colony_234.tiff,262,61.012,0.884,66810,66810,1.101,0.908,0.924,21.929,20.438
637,1 pat p30 7 day ctrl 10x 3_colony_235.tiff,235,58.426,0.865,59925,59925,1.445,0.692,0.918,24.421,16.528
638,1 pat p30 7 day ctrl 10x 3_colony_236.tiff,294,65.012,0.874,74970,74970,1.365,0.733,0.923,22.604,16.561
639,1 pat p30 7 day ctrl 10x 3_colony_237.tiff,245,61.012,0.827,62475,62475,1.707,0.586,0.921,23.077,13.518
640,1 pat p30 7 day ctrl 10x 3_colony_238.tiff,488,84.426,0.86,124440,124440,1.493,0.67,0.949,31.22,21.126
641,1 pat p30 7 day ctrl 10x 3_colony_239.tiff,253,60.184,0.878,64515,64515,1.351,0.74,0.925,20.865,15.439
642,1 pat p30 7 day ctrl 10x 3_colony_240.tiff,293,65.598,0.856,74715,74715,1.566,0.639,0.929,26.522,17.57
643,1 pat p30 7 day ctrl 10x 3_colony_241.tiff,305,70.527,0.771,77775,77775,1.848,0.541,0.916,26.788,14.497
644,1 pat p30 7 day ctrl 10x 3_colony_242.tiff,377,71.497,0.927,96135,96135,1.013,0.987,0.939,24.31,23.516
645,1 pat p30 7 day ctrl 10x 3_colony_243.tiff,253,61.497,0.841,64515,64515,1.253,0.798,0.905,20.089,16.035
646,1 pat p30 7 day ctrl 10x 3_colony_244.tiff,331,68.326,0.891,84405,84405,1.312,0.762,0.925,23.518,17.92
647,1 pat p30 7 day ctrl 10x 3_colony_245.tiff,252,61.598,0.835,64260,64260,1.661,0.602,0.926,25.248,16.692
648,1 pat p30 7 day ctrl 10x 3_colony_246.tiff,346,70.083,0.885,88230,88230,1.447,0.691,0.936,26.74,18.57
649,1 pat p30 7 day ctrl 10x 3_colony_247.tiff,345,70.426,0.874,87975,87975,1.431,0.699,0.935,25.072,17.52
650,1 pat p30 7 day ctrl 10x 3_colony_248.tiff,214,58.527,0.785,54570,54570,1.877,0.533,0.911,23.608,13.267
651,1 pat p30 7 day ctrl 10x 3_colony_249.tiff,262,61.012,0.884,66810,66810,1.448,0.691,0.932,24.415,17.001
652,1 pat p30 7 day ctrl 10x 3_colony_250.tiff,275,63.841,0.848,70125,70125,1.687,0.593,0.934,26.342,15.854
653,1 pat p30 7 day ctrl 10x 3_colony_251.tiff,337,73.012,0.794,85935,85935,1.801,0.555,0.934,28.936,16.589
654,1 pat p30 7 day ctrl 10x 3_colony_252.tiff,199,54.184,0.852,50745,50745,1.456,0.687,0.909,19.209,13.191
655,1 pat p30 7 day ctrl 10x 3_colony_253.tiff,260,63.255,0.817,66300,66300,1.536,0.651,0.908,22.551,14.68
656,1 pat p30 7 day ctrl 10x 3_colony_254.tiff,307,69.255,0.804,78285,78285,1.926,0.519,0.932,27.436,14.247
657,1 pat p30 7 day ctrl 10x 3_colony_255.tiff,338,68.184,0.914,86190,86190,1.347,0.742,0.947,24.745,18.833
