 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
223,7 pat OD ki67 (561)_0010_C001T001_colony_16.tiff,2217,178.267,0.877,565335,565335,1.435,0.697,0.974
224,7 pat OD ki67 (561)_0010_C001T001_colony_17.tiff,2220,177.924,0.881,566100,566100,1.253,0.798,0.965
225,7 pat OD ki67 (561)_0010_C001T001_colony_18.tiff,2790,202.309,0.857,711450,711450,1.450,0.689,0.971
226,7 pat OD ki67 (561)_0010_C001T001_colony_19.tiff,2304,182.752,0.867,587520,587520,1.379,0.725,0.969
227,7 pat OD ki67 (561)_0010_C001T001_colony_2.tiff,2436,186.894,0.876,621180,621180,1.290,0.775,0.970
228,7 pat OD ki67 (561)_0010_C001T001_colony_20.tiff,3107,210.066,0.885,792285,792285,1.277,0.783,0.970
229,7 pat OD ki67 (561)_0010_C001T001_colony_21.tiff,2484,188.167,0.882,633420,633420,1.266,0.790,0.971
230,7 pat OD ki67 (561)_0010_C001T001_colony_22.tiff,2066,171.338,0.884,526830,526830,1.317,0.759,0.969
231,7 pat OD ki67 (561)_0010_C001T001_colony_23.tiff,2504,189.581,0.875,638520,638520,1.354,0.739,0.973
232,7 pat OD ki67 (561)_0010_C001T001_colony_24.tiff,3078,211.966,0.861,784890,784890,1.404,0.712,0.972
233,7 pat OD ki67 (561)_0010_C001T001_colony_25.tiff,2969,204.409,0.893,757095,757095,1.226,0.816,0.967
234,7 pat OD ki67 (561)_0010_C001T001_colony_27.tiff,2330,184.066,0.864,594150,594150,1.205,0.830,0.960
235,7 pat OD ki67 (561)_0010_C001T001_colony_28.tiff,3079,209.924,0.878,785145,785145,1.385,0.722,0.978
236,7 pat OD ki67 (561)_0010_C001T001_colony_29.tiff,2261,182.752,0.851,576555,576555,1.386,0.722,0.966
237,7 pat OD ki67 (561)_0010_C001T001_colony_30.tiff,2289,185.924,0.832,583695,583695,1.521,0.658,0.966
238,7 pat OD ki67 (561)_0010_C001T001_colony_31.tiff,2753,198.894,0.875,702015,702015,1.350,0.741,0.972
239,7 pat OD ki67 (561)_0010_C001T001_colony_32.tiff,2208,177.480,0.881,563040,563040,1.261,0.793,0.966
240,7 pat OD ki67 (561)_0010_C001T001_colony_33.tiff,3232,214.309,0.884,824160,824160,1.227,0.815,0.975
241,7 pat OD ki67 (561)_0010_C001T001_colony_34.tiff,2106,174.409,0.870,537030,537030,1.490,0.671,0.971
242,7 pat OD ki67 (561)_0010_C001T001_colony_35.tiff,2528,190.894,0.872,644640,644640,1.120,0.892,0.968
243,7 pat OD ki67 (561)_0010_C001T001_colony_36.tiff,2259,177.681,0.899,576045,576045,1.193,0.838,0.973
244,7 pat OD ki67 (561)_0010_C001T001_colony_37.tiff,2320,183.924,0.862,591600,591600,1.450,0.690,0.972
245,7 pat OD ki67 (561)_0010_C001T001_colony_38.tiff,3045,207.238,0.891,776475,776475,1.262,0.793,0.973
246,7 pat OD ki67 (561)_0010_C001T001_colony_5.tiff,2634,195.581,0.865,671670,671670,1.309,0.764,0.968
247,7 pat OD ki67 (561)_0010_C001T001_colony_7.tiff,3330,245.907,0.692,849150,849150,1.769,0.565,0.940
248,7 pat OD ki67 (561)_0010_C001T001_colony_8.tiff,3012,207.037,0.883,768060,768060,1.216,0.822,0.970
249,Drawing of 7 pat OD ki67 (561)_0010_C001T001_colony_8.tiff,4033,265.012,0.722,1028415,1028415,1.045,0.957,0.970
250,7 pat OD ki67 (561)_0011_C001T001_colony_1.tiff,3116,208.409,0.902,794580,794580,1.105,0.905,0.975
251,7 pat OD ki67 (561)_0011_C001T001_colony_11.tiff,2593,191.823,0.886,661215,661215,1.275,0.784,0.973
252,7 pat OD ki67 (561)_0011_C001T001_colony_12.tiff,3212,218.066,0.849,819060,819060,1.389,0.720,0.972
253,7 pat OD ki67 (561)_0011_C001T001_colony_13.tiff,1905,167.782,0.850,485775,485775,1.575,0.635,0.968
254,7 pat OD ki67 (561)_0011_C001T001_colony_15.tiff,2026,167.681,0.905,516630,516630,1.221,0.819,0.973
255,7 pat OD ki67 (561)_0011_C001T001_colony_16.tiff,3176,209.966,0.905,809880,809880,1.200,0.833,0.976
256,7 pat OD ki67 (561)_0011_C001T001_colony_17.tiff,2233,177.196,0.894,569415,569415,1.284,0.779,0.976
257,7 pat OD ki67 (561)_0011_C001T001_colony_19.tiff,2612,190.510,0.904,666060,666060,1.202,0.832,0.976
258,7 pat OD ki67 (561)_0011_C001T001_colony_2.tiff,2408,186.409,0.871,614040,614040,1.359,0.736,0.968
259,7 pat OD ki67 (561)_0011_C001T001_colony_20.tiff,2655,194.409,0.883,677025,677025,1.314,0.761,0.974
