 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,target
1114,colony_833.tiff,1871,164.167,0.872,477105,477105,1.489,0.672,0.97,1
1115,colony_834.tiff,2628,192.652,0.89,670140,670140,1.303,0.767,0.97,1
1116,colony_835.tiff,2206,177.095,0.884,562530,562530,1.317,0.76,0.97,1
1117,colony_836.tiff,1784,159.338,0.883,454920,454920,1.303,0.768,0.966,1
1118,colony_837.tiff,1544,149.439,0.869,393720,393720,1.205,0.83,0.964,1
1119,colony_838.tiff,2527,188.752,0.891,644385,644385,1.144,0.874,0.972,1
1120,colony_839.tiff,2498,231.38,0.586,636990,636990,2.892,0.346,0.928,1
1121,colony_84.tiff,2265,181.924,0.86,577575,577575,1.349,0.741,0.965,1
1122,colony_840.tiff,2493,186.995,0.896,635715,635715,1.171,0.854,0.97,1
1123,colony_841.tiff,1984,170.409,0.859,505920,505920,1.454,0.688,0.962,1
1124,colony_842.tiff,2936,205.966,0.87,748680,748680,1.403,0.713,0.973,1
1125,colony_843.tiff,4957,266.593,0.876,1264035,1264035,1.179,0.848,0.959,1
1126,colony_844.tiff,1861,165.681,0.852,474555,474555,1.398,0.715,0.965,1
1127,colony_845.tiff,2796,198.551,0.891,712980,712980,1.192,0.839,0.971,1
1128,colony_846.tiff,1873,163.681,0.879,477615,477615,1.298,0.771,0.967,1
1129,colony_847.tiff,1826,161.439,0.88,465630,465630,1.267,0.789,0.966,1
1130,colony_848.tiff,1342,136.125,0.91,342210,342210,1.123,0.891,0.966,1
1131,colony_849.tiff,2240,176.995,0.899,571200,571200,1.075,0.931,0.97,1
1132,colony_85.tiff,2096,175.095,0.859,534480,534480,1.275,0.784,0.96,1
1133,colony_850.tiff,2520,190.652,0.871,642600,642600,1.31,0.763,0.969,1
1134,colony_851.tiff,2091,194.368,0.696,533205,533205,2.445,0.409,0.962,1
1135,colony_852.tiff,1149,130.811,0.844,292995,292995,1.619,0.618,0.953,1
1136,colony_853.tiff,2406,188.309,0.853,613530,613530,1.401,0.714,0.966,1
1137,colony_854.tiff,1508,147.196,0.875,384540,384540,1.315,0.76,0.965,1
1138,colony_855.tiff,2293,178.752,0.902,584715,584715,1.226,0.816,0.97,1
1139,colony_856.tiff,3016,214.309,0.825,769080,769080,1.542,0.649,0.944,1
1140,colony_857.tiff,2162,174.167,0.896,551310,551310,1.211,0.826,0.968,1
1141,colony_858.tiff,2367,186.894,0.852,603585,603585,1.305,0.766,0.94,1
1142,colony_859.tiff,1625,149.439,0.914,414375,414375,1.118,0.894,0.971,1
1143,colony_86.tiff,1912,166.51,0.867,487560,487560,1.413,0.708,0.966,1
1144,colony_860.tiff,1801,159.338,0.891,459255,459255,1.194,0.837,0.966,1
1145,colony_861.tiff,1772,155.782,0.918,451860,451860,1.113,0.899,0.973,1
1146,colony_862.tiff,1656,186.51,0.598,422280,422280,2.38,0.42,0.921,1
1147,colony_863.tiff,1249,133.296,0.883,318495,318495,1.091,0.917,0.958,1
1148,colony_864.tiff,2002,168.752,0.883,510510,510510,1.266,0.79,0.967,1
1149,colony_865.tiff,1885,162.024,0.902,480675,480675,1.189,0.841,0.97,1
1150,colony_866.tiff,1613,148.368,0.921,411315,411315,1.07,0.935,0.972,1
1151,colony_867.tiff,1377,137.439,0.916,351135,351135,1.077,0.928,0.966,1
1152,colony_868.tiff,1450,143.924,0.88,369750,369750,1.254,0.797,0.954,1
1153,colony_869.tiff,1724,158.024,0.868,439620,439620,1.354,0.739,0.963,1
1154,colony_87.tiff,2193,178.309,0.867,559215,559215,1.225,0.816,0.957,1
1155,colony_870.tiff,2549,191.966,0.869,649995,649995,1.333,0.75,0.967,1
1156,colony_871.tiff,2089,174.995,0.857,532695,532695,1.427,0.701,0.966,1
1157,colony_872.tiff,2290,182.894,0.86,583950,583950,1.483,0.674,0.968,1
1158,colony_873.tiff,2362,184.894,0.868,602310,602310,1.33,0.752,0.967,1
1159,colony_874.tiff,3897,241.522,0.84,993735,993735,1.394,0.717,0.957,1
1160,colony_875.tiff,1952,168.752,0.861,497760,497760,1.395,0.717,0.967,1
1161,colony_877.tiff,1746,157.338,0.886,445230,445230,1.168,0.856,0.963,1
1162,colony_878.tiff,1732,156.61,0.887,441660,441660,1.242,0.805,0.967,1
1163,colony_879.tiff,2160,174.409,0.892,550800,550800,1.242,0.805,0.969,1
1164,colony_88.tiff,2922,206.167,0.864,745110,745110,1.332,0.751,0.968,1
1165,colony_880.tiff,2307,181.095,0.884,588285,588285,1.328,0.753,0.971,1
1166,colony_881.tiff,2503,191.966,0.854,638265,638265,1.312,0.762,0.957,1
1167,colony_882.tiff,2827,204.551,0.849,720885,720885,1.418,0.705,0.972,1
1168,colony_883.tiff,2305,180.51,0.889,587775,587775,1.33,0.752,0.972,1
1169,colony_884.tiff,1806,208.066,0.524,460530,460530,2.126,0.47,0.875,1
1170,colony_885.tiff,1878,164.61,0.871,478890,478890,1.425,0.702,0.97,1
1171,colony_886.tiff,1238,134.267,0.863,315690,315690,1.393,0.718,0.953,1
1172,colony_887.tiff,1577,148.368,0.9,402135,402135,1.148,0.871,0.966,1
1173,colony_888.tiff,2316,185.681,0.844,590580,590580,1.419,0.705,0.964,1
1174,colony_889.tiff,2360,180.167,0.914,601800,601800,1.233,0.811,0.975,1
1175,colony_89.tiff,2700,196.995,0.874,688500,688500,1.257,0.795,0.968,1
1176,colony_890.tiff,2762,205.581,0.821,704310,704310,1.676,0.597,0.973,1
1177,colony_891.tiff,2323,188.409,0.822,592365,592365,1.601,0.625,0.964,1
1178,colony_892.tiff,2734,197.823,0.878,697170,697170,1.168,0.856,0.971,1
1179,colony_893.tiff,1950,164.853,0.902,497250,497250,1.198,0.835,0.972,1
1180,colony_894.tiff,2388,184.167,0.885,608940,608940,1.197,0.835,0.971,1
1181,colony_895.tiff,1941,185.296,0.71,494955,494955,2.374,0.421,0.956,1
1182,colony_896.tiff,1850,160.853,0.899,471750,471750,1.245,0.803,0.968,1
1183,colony_897.tiff,2722,194.894,0.901,694110,694110,1.152,0.868,0.969,1
1184,colony_898.tiff,2116,175.095,0.867,539580,539580,1.377,0.726,0.967,1
1185,colony_899.tiff,2053,169.823,0.895,523515,523515,1.198,0.835,0.969,1
1186,colony_9.tiff,2068,171.095,0.888,527340,527340,1.352,0.74,0.971,1
1187,colony_90.tiff,2309,186.167,0.837,588795,588795,1.574,0.635,0.967,1
1188,colony_900.tiff,2414,206.35,0.712,615570,615570,1.324,0.755,0.931,1
1189,colony_901.tiff,1757,156.368,0.903,448035,448035,1.223,0.817,0.972,1
1190,colony_902.tiff,2065,169.095,0.908,526575,526575,1.195,0.837,0.973,1
1191,colony_903.tiff,1526,152.61,0.823,389130,389130,1.489,0.671,0.956,1
1192,colony_904.tiff,2233,179.338,0.872,569415,569415,1.379,0.725,0.969,1
1193,colony_905.tiff,3201,221.723,0.818,816255,816255,1.596,0.627,0.954,1
1194,colony_906.tiff,1487,186.409,0.538,379185,379185,2.411,0.415,0.866,1
1195,colony_907.tiff,2804,198.066,0.898,715020,715020,1.221,0.819,0.974,1
1196,colony_908.tiff,1674,154.61,0.88,426870,426870,1.327,0.754,0.968,1
1197,colony_909.tiff,1607,153.439,0.858,409785,409785,1.312,0.762,0.962,1
1198,colony_91.tiff,1975,198.024,0.633,503625,503625,2.759,0.362,0.954,1
1199,colony_910.tiff,2127,176.995,0.853,542385,542385,1.511,0.662,0.966,1
1200,colony_911.tiff,1716,162.024,0.821,437580,437580,1.473,0.679,0.952,1
1201,colony_912.tiff,2164,176.167,0.876,551820,551820,1.325,0.754,0.968,1
1202,colony_913.tiff,1760,159.095,0.874,448800,448800,1.315,0.76,0.966,1
1203,colony_914.tiff,2216,179.723,0.862,565080,565080,1.443,0.693,0.97,1
1,colony_915.tiff,2012,167.924,0.897,513060,513060,1.163,0.86,0.967,1
2,colony_916.tiff,2237,177.581,0.891,570435,570435,1.29,0.775,0.971,1
3,colony_917.tiff,2344,202.024,0.722,597720,597720,2.292,0.436,0.953,1
4,colony_918.tiff,2578,192.995,0.87,657390,657390,1.315,0.761,0.97,1
5,colony_919.tiff,2095,175.581,0.854,534225,534225,1.376,0.727,0.965,1
6,colony_92.tiff,1869,163.095,0.883,476595,476595,1.3,0.769,0.968,1
7,colony_920.tiff,2019,168.51,0.894,514845,514845,1.271,0.787,0.97,1
8,colony_921.tiff,2129,171.924,0.905,542895,542895,1.109,0.901,0.97,1
9,colony_922.tiff,2168,176.51,0.874,552840,552840,1.208,0.828,0.967,1
10,colony_923.tiff,1836,164.652,0.851,468180,468180,1.489,0.672,0.966,1
11,colony_924.tiff,2023,168.51,0.895,515865,515865,1.246,0.803,0.968,1
12,colony_925.tiff,2163,172.752,0.911,551565,551565,1.185,0.844,0.971,1
13,colony_926.tiff,2105,172.853,0.885,536775,536775,1.243,0.805,0.968,1
14,colony_927.tiff,2242,180.409,0.866,571710,571710,1.274,0.785,0.97,1
15,colony_928.tiff,2230,199.338,0.705,568650,568650,2.324,0.43,0.962,1
16,colony_929.tiff,2219,174.61,0.915,565845,565845,1.237,0.809,0.979,1
17,colony_93.tiff,1684,153.439,0.899,429420,429420,1.242,0.805,0.969,1
18,colony_930.tiff,1786,158.51,0.893,455430,455430,1.098,0.911,0.965,1
19,colony_931.tiff,2187,177.581,0.871,557685,557685,1.331,0.751,0.961,1
20,colony_932.tiff,2108,176.066,0.855,537540,537540,1.443,0.693,0.966,1
21,colony_933.tiff,2880,208.108,0.836,734400,734400,1.596,0.626,0.963,1
22,colony_934.tiff,2343,184.309,0.867,597465,597465,1.126,0.888,0.967,1
23,colony_935.tiff,1758,155.439,0.914,448290,448290,1.147,0.872,0.97,1
24,colony_936.tiff,2240,179.48,0.874,571200,571200,1.354,0.739,0.969,1
25,colony_937.tiff,2445,188.794,0.862,623475,623475,1.292,0.774,0.967,1
26,colony_938.tiff,2465,185.581,0.899,628575,628575,1.177,0.849,0.973,1
27,colony_939.tiff,2221,191.095,0.764,566355,566355,1.938,0.516,0.965,1
28,colony_94.tiff,1895,162.752,0.899,483225,483225,1.14,0.877,0.967,1
29,colony_940.tiff,1811,160.167,0.887,461805,461805,1.318,0.759,0.968,1
