 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,target,Major,Minor
29,colony_1023.tiff,1892,166.267,0.86,482460,482460,1.501,0.666,0.969,1,55.362,35.877
30,colony_1024.tiff,1885,169.823,0.821,480675,480675,1.46,0.685,0.92,1,57.059,39.095
31,colony_1025.tiff,1854,162.853,0.878,472770,472770,1.335,0.749,0.97,1,47.866,35.91
32,colony_1026.tiff,954,129.054,0.72,243270,243270,1.969,0.508,0.927,1,47.135,22.664
33,colony_1027.tiff,2176,180.267,0.841,554880,554880,1.373,0.728,0.962,1,57.635,43.012
35,colony_1029.tiff,2106,174.752,0.867,537030,537030,1.363,0.734,0.961,1,53.679,37.904
36,colony_103.tiff,2238,178.066,0.887,570690,570690,1.226,0.816,0.969,1,56.898,42.943
37,colony_1030.tiff,1740,155.924,0.899,443700,443700,1.285,0.778,0.972,1,51.546,40.881
38,colony_1031.tiff,1600,154.024,0.848,408000,408000,1.498,0.668,0.966,1,53.276,33.913
39,colony_1032.tiff,1520,161.782,0.73,387600,387600,1.45,0.69,0.827,1,47.331,32.953
43,colony_1036.tiff,1492,146.61,0.872,380460,380460,1.243,0.804,0.943,1,43.532,34.162
44,colony_1037.tiff,2136,175.48,0.872,544680,544680,1.188,0.842,0.949,1,51.985,34.045
45,colony_1038.tiff,1585,177.095,0.635,404175,404175,1.21,0.826,0.851,1,51.276,42.164
46,colony_1039.tiff,2658,248.492,0.541,677790,677790,2.713,0.369,0.884,1,96.979,36.131
47,colony_104.tiff,1702,152.368,0.921,434010,434010,1.115,0.897,0.975,1,45.99,40.946
48,colony_1040.tiff,1644,160.51,0.802,419220,419220,1.591,0.629,0.95,1,51.974,33.537
49,colony_1041.tiff,1995,170.267,0.865,508725,508725,1.422,0.703,0.97,1,57.767,40.622
50,colony_1042.tiff,2835,203.723,0.858,722925,722925,1.21,0.826,0.955,1,63.534,49.64
51,colony_1043.tiff,2207,177.823,0.877,562785,562785,1.327,0.754,0.97,1,57.497,43.824
52,colony_1044.tiff,1721,161.581,0.828,438855,438855,1.282,0.78,0.947,1,48.875,37.331
53,colony_1045.tiff,1638,158.267,0.822,417690,417690,1.519,0.658,0.942,1,54.403,33.491
54,colony_1046.tiff,1682,172.853,0.707,428910,428910,1.511,0.662,0.885,1,50.023,33.369
55,colony_1047.tiff,960,140.953,0.607,244800,244800,1.538,0.65,0.841,1,43.902,29.292
56,colony_1048.tiff,1795,167.782,0.801,457725,457725,1.688,0.592,0.959,1,57.852,34.487
57,colony_1049.tiff,1581,227.522,0.384,403155,403155,1.319,0.758,0.839,1,46.261,32.257
58,colony_105.tiff,1867,164.267,0.869,476085,476085,1.18,0.848,0.964,1,48.159,38.441
59,colony_1050.tiff,2100,196.167,0.686,535500,535500,2.238,0.447,0.939,1,72.591,33.238
60,colony_1051.tiff,2401,211.238,0.676,612255,612255,1.637,0.611,0.877,1,67.619,23.085
61,colony_1052.tiff,1805,164.995,0.833,460275,460275,1.215,0.823,0.948,1,41.264,29.683
62,colony_1053.tiff,1877,164.267,0.874,478635,478635,1.29,0.775,0.961,1,52.848,41.584
63,colony_1054.tiff,2134,195.924,0.699,544170,544170,2.083,0.48,0.918,1,65.43,32.361
64,colony_1055.tiff,1405,142.368,0.871,358275,358275,1.234,0.81,0.933,1,44.71,36.907
65,colony_1056.tiff,2501,198.752,0.796,637755,637755,1.338,0.747,0.899,1,60.711,45.111
66,colony_1057.tiff,1873,168.167,0.832,477615,477615,1.463,0.683,0.944,1,58.116,38.647
67,colony_1058.tiff,2839,203.137,0.865,723945,723945,1.419,0.705,0.973,1,67.183,46.849
68,colony_1059.tiff,1359,168.652,0.6,346545,346545,1.725,0.58,0.85,1,57.106,31.883
69,colony_106.tiff,3071,222.693,0.778,783105,783105,1.566,0.638,0.95,1,75.215,46.129
70,colony_1060.tiff,1892,166.267,0.86,482460,482460,1.501,0.666,0.969,1,55.362,35.877
71,colony_1061.tiff,2671,226.752,0.653,681105,681105,2.467,0.405,0.946,1,89.016,36.445
72,colony_1062.tiff,1885,169.823,0.821,480675,480675,1.46,0.685,0.92,1,57.059,39.095
73,colony_1063.tiff,1854,162.853,0.878,472770,472770,1.335,0.749,0.97,1,47.866,35.91
74,colony_1064.tiff,954,129.054,0.72,243270,243270,1.969,0.508,0.927,1,47.135,22.664
75,colony_1065.tiff,1946,169.338,0.853,496230,496230,1.459,0.685,0.96,1,54.831,38.361
76,colony_1066.tiff,1740,155.924,0.899,443700,443700,1.285,0.778,0.972,1,51.546,40.881
77,colony_1067.tiff,1600,154.024,0.848,408000,408000,1.498,0.668,0.966,1,53.276,33.913
78,colony_1068.tiff,2002,176.309,0.809,510510,510510,1.212,0.825,0.922,1,44.823,36.615
79,colony_1069.tiff,1981,168.51,0.877,505155,505155,1.174,0.852,0.964,1,53.064,44.869
80,colony_107.tiff,1953,205.38,0.582,498015,498015,1.335,0.749,0.923,1,51.287,37.81
81,colony_1070.tiff,1740,191.966,0.593,443700,443700,1.65,0.606,0.907,1,52.288,33.798
82,colony_1071.tiff,1363,141.439,0.856,347565,347565,1.316,0.76,0.927,1,40.851,32.726
83,colony_1072.tiff,1961,180.309,0.758,500055,500055,1.741,0.574,0.927,1,62.972,36.071
84,colony_1073.tiff,2566,219.137,0.671,654330,654330,2.404,0.416,0.946,1,86.075,35.649
85,colony_1074.tiff,1607,151.924,0.875,409785,409785,1.239,0.807,0.94,1,47.597,37.932
86,colony_1075.tiff,1878,203.037,0.572,478890,478890,1.354,0.738,0.783,1,59.827,45.331
87,colony_1076.tiff,2383,193.865,0.797,607665,607665,1.323,0.756,0.943,1,63.966,48.767
88,colony_1077.tiff,1380,194.208,0.46,351900,351900,1.534,0.652,0.757,1,52.591,37.114
89,colony_1078.tiff,2313,184.652,0.852,589815,589815,1.425,0.702,0.962,1,61.402,41.306
90,colony_1079.tiff,792,166.995,0.357,201960,201960,1.783,0.561,0.705,1,43.095,26.413
91,colony_108.tiff,2143,174.752,0.882,546465,546465,1.304,0.767,0.968,1,54.51,41.203
92,colony_1080.tiff,1807,164.995,0.834,460785,460785,1.479,0.676,0.957,1,54.375,37.957
93,colony_1081.tiff,980,149.681,0.55,249900,249900,1.394,0.717,0.855,1,41.335,31.542
94,colony_1082.tiff,1409,159.439,0.697,359295,359295,1.661,0.602,0.911,1,55.857,34.556
95,colony_1083.tiff,2973,205.137,0.888,758115,758115,1.101,0.908,0.962,1,58.388,45.467
96,colony_1084.tiff,1934,167.338,0.868,493170,493170,1.329,0.752,0.964,1,55.639,41.168
97,colony_1085.tiff,3078,265.078,0.55,784890,784890,1.842,0.543,0.829,1,85.962,46.982
98,colony_1086.tiff,1148,125.983,0.909,292740,292740,1.213,0.825,0.97,1,39.553,31.0
99,colony_1087.tiff,1521,146.125,0.895,387855,387855,1.058,0.945,0.965,1,42.838,34.032
100,colony_1088.tiff,1461,197.865,0.469,372555,372555,1.136,0.88,0.794,1,48.602,42.178
101,colony_1089.tiff,1774,160.267,0.868,452370,452370,1.371,0.729,0.967,1,51.682,38.827
102,colony_109.tiff,4799,264.593,0.861,1223745,1223745,1.296,0.771,0.973,1,82.272,59.18
103,colony_1090.tiff,1689,159.196,0.837,430695,430695,1.425,0.702,0.957,1,52.495,37.934
104,colony_1091.tiff,1876,188.894,0.661,478380,478380,1.321,0.757,0.841,1,57.054,44.164
105,colony_1092.tiff,1800,171.681,0.767,459000,459000,1.151,0.869,0.841,1,46.323,39.882
106,colony_1093.tiff,1981,180.066,0.768,505155,505155,1.7,0.588,0.916,1,59.836,36.599
107,colony_1094.tiff,1216,141.439,0.764,310080,310080,1.302,0.768,0.853,1,45.453,35.408
108,colony_1095.tiff,1720,197.723,0.553,438600,438600,3.383,0.296,0.943,1,87.555,25.725
109,colony_1096.tiff,1737,156.51,0.891,442935,442935,1.17,0.854,0.952,1,41.881,37.333
110,colony_1097.tiff,2198,188.309,0.779,560490,560490,1.379,0.725,0.871,1,57.566,42.002
111,colony_1098.tiff,3308,214.794,0.901,843540,843540,1.045,0.957,0.975,1,61.131,57.506
112,colony_1099.tiff,2015,172.267,0.853,513825,513825,1.29,0.775,0.933,1,52.903,41.011
113,colony_11.tiff,2569,192.267,0.873,655095,655095,1.397,0.716,0.975,1,64.479,46.602
114,colony_110.tiff,1774,162.61,0.843,452370,452370,1.446,0.692,0.96,1,55.825,38.842
115,colony_1100.tiff,1872,165.338,0.861,477360,477360,1.118,0.895,0.943,1,48.403,41.01
116,colony_1101.tiff,1663,152.024,0.904,424065,424065,1.182,0.846,0.969,1,48.297,41.073
117,colony_1102.tiff,1897,168.409,0.841,483735,483735,1.501,0.666,0.958,1,59.428,39.657
118,colony_1103.tiff,1939,177.823,0.771,494445,494445,1.674,0.597,0.95,1,58.736,35.356
119,colony_1104.tiff,1274,135.196,0.876,324870,324870,1.161,0.861,0.925,1,41.283,35.067
120,colony_1105.tiff,2071,177.095,0.83,528105,528105,1.293,0.774,0.96,1,57.987,41.631
121,colony_1106.tiff,3776,254.392,0.733,962880,962880,2.133,0.469,0.967,1,98.821,45.43
122,colony_1107.tiff,2903,206.894,0.852,740265,740265,1.101,0.908,0.932,1,56.089,48.352
123,colony_1108.tiff,3587,252.593,0.706,914685,914685,1.583,0.632,0.88,1,81.523,50.65
124,colony_1109.tiff,1136,127.054,0.884,289680,289680,1.196,0.836,0.963,1,36.736,30.084
125,colony_111.tiff,1620,171.095,0.695,413100,413100,1.452,0.689,0.897,1,51.928,30.355
126,colony_1110.tiff,1566,147.539,0.904,399330,399330,1.05,0.952,0.967,1,42.926,39.005
127,colony_1111.tiff,2178,175.338,0.89,555390,555390,1.269,0.788,0.972,1,54.175,44.96
128,colony_1112.tiff,1804,159.924,0.886,460020,460020,1.318,0.759,0.968,1,50.411,38.745
129,colony_1113.tiff,1547,153.782,0.822,394485,394485,1.424,0.702,0.951,1,50.958,33.806
130,colony_1114.tiff,1685,152.853,0.906,429675,429675,1.125,0.889,0.968,1,44.255,40.998
131,colony_1115.tiff,1998,173.924,0.83,509490,509490,1.611,0.621,0.965,1,62.463,38.118
132,colony_1116.tiff,2164,172.51,0.914,551820,551820,1.032,0.969,0.973,1,48.728,47.712
133,colony_1117.tiff,1914,193.196,0.644,488070,488070,2.644,0.378,0.953,1,77.306,29.663
134,colony_1118.tiff,2024,182.066,0.767,516120,516120,1.427,0.701,0.952,1,60.19,38.88
135,colony_1119.tiff,1405,140.953,0.889,358275,358275,1.32,0.757,0.966,1,46.266,34.675
136,colony_112.tiff,1064,136.125,0.722,271320,271320,1.255,0.797,0.9,1,33.98,25.667
137,colony_1120.tiff,1696,159.238,0.841,432480,432480,1.396,0.716,0.94,1,52.117,36.108
138,colony_1121.tiff,1701,165.338,0.782,433755,433755,1.487,0.673,0.929,1,54.556,36.524
139,colony_1122.tiff,1266,213.179,0.35,322830,322830,1.404,0.712,0.784,1,40.046,27.566
139,colony_1122.tiff,1266,213.179,0.35,322830,322830,1.404,0.712,0.784,1,18.066,7.259
140,colony_1123.tiff,2032,167.439,0.911,518160,518160,1.291,0.774,0.975,1,46.949,37.479
141,colony_1124.tiff,2125,176.995,0.852,541875,541875,1.436,0.696,0.957,1,58.727,38.244
142,colony_1125.tiff,1456,186.309,0.527,371280,371280,1.548,0.646,0.842,1,52.1,31.037
143,colony_1126.tiff,1668,153.196,0.893,425340,425340,1.262,0.792,0.961,1,44.042,38.103
144,colony_1127.tiff,2231,184.894,0.82,568905,568905,1.604,0.624,0.964,1,64.756,37.201
146,colony_1129.tiff,2851,210.551,0.808,727005,727005,1.358,0.737,0.943,1,64.536,44.627
147,colony_113.tiff,1164,146.51,0.681,296820,296820,1.774,0.564,0.889,1,52.485,29.863
148,colony_1130.tiff,1708,172.167,0.724,435540,435540,1.179,0.848,0.947,1,48.325,38.626
149,colony_1131.tiff,1589,156.995,0.81,405195,405195,1.768,0.566,0.963,1,60.855,33.225
150,colony_1132.tiff,2331,182.167,0.883,594405,594405,1.413,0.708,0.974,1,58.686,41.96
151,colony_1133.tiff,1664,156.51,0.854,424320,424320,1.516,0.66,0.964,1,56.325,36.01
152,colony_1134.tiff,1656,155.338,0.862,422280,422280,1.52,0.658,0.964,1,53.813,33.03
153,colony_1135.tiff,1814,169.095,0.797,462570,462570,1.378,0.726,0.895,1,53.194,36.071
154,colony_1136.tiff,1709,155.196,0.892,435795,435795,1.167,0.857,0.963,1,43.828,36.342
155,colony_1137.tiff,1673,159.095,0.831,426615,426615,1.653,0.605,0.964,1,54.583,30.955
156,colony_1138.tiff,1791,163.823,0.839,456705,456705,1.558,0.642,0.961,1,58.466,35.955
157,colony_1139.tiff,1340,161.095,0.649,341700,341700,2.384,0.42,0.887,1,63.921,25.377
158,colony_114.tiff,2036,209.196,0.585,519180,519180,2.903,0.344,0.919,1,83.864,27.753
159,colony_1140.tiff,1448,179.238,0.566,369240,369240,1.482,0.675,0.816,1,47.725,33.161
160,colony_1141.tiff,1537,151.782,0.838,391935,391935,1.512,0.661,0.96,1,53.725,34.127
161,colony_1142.tiff,2013,170.995,0.865,513315,513315,1.394,0.717,0.963,1,55.011,36.847
162,colony_1143.tiff,1901,177.196,0.761,484755,484755,1.938,0.516,0.952,1,49.857,26.509
163,colony_1144.tiff,2245,191.823,0.767,572475,572475,1.599,0.626,0.937,1,66.174,39.79
164,colony_1145.tiff,1894,165.581,0.868,482970,482970,1.427,0.701,0.967,1,57.774,37.509
165,colony_1146.tiff,1692,161.681,0.813,431460,431460,1.478,0.677,0.91,1,51.399,34.309
166,colony_1147.tiff,1516,150.368,0.843,386580,386580,1.463,0.683,0.948,1,49.233,34.81
167,colony_1148.tiff,2189,175.681,0.891,558195,558195,1.117,0.895,0.967,1,49.88,45.539
168,colony_1149.tiff,1884,166.61,0.853,480420,480420,1.356,0.737,0.959,1,54.93,38.431
169,colony_115.tiff,1451,146.024,0.855,370005,370005,1.343,0.745,0.964,1,43.749,35.826
170,colony_1150.tiff,2570,217.338,0.684,655350,655350,2.474,0.404,0.967,1,86.939,34.783
171,colony_1151.tiff,1493,149.095,0.844,380715,380715,1.333,0.75,0.948,1,49.702,35.737
172,colony_1152.tiff,1406,143.924,0.853,358530,358530,1.554,0.644,0.961,1,52.078,32.614
173,colony_1153.tiff,2050,171.095,0.88,522750,522750,1.245,0.803,0.964,1,50.444,42.682
174,colony_1154.tiff,1935,171.823,0.824,493425,493425,1.618,0.618,0.958,1,62.302,35.09
175,colony_1155.tiff,1935,171.823,0.824,493425,493425,1.643,0.609,0.958,1,62.392,37.61
176,colony_1156.tiff,1817,159.095,0.902,463335,463335,1.287,0.777,0.972,1,52.86,39.166
177,colony_1157.tiff,2190,177.338,0.875,558450,558450,1.09,0.918,0.963,1,52.948,48.984
178,colony_1158.tiff,1614,152.024,0.878,411570,411570,1.246,0.802,0.965,1,49.191,38.281
179,colony_1159.tiff,2105,173.581,0.878,536775,536775,1.167,0.857,0.964,1,51.992,41.484
180,colony_116.tiff,1750,167.338,0.785,446250,446250,1.395,0.717,0.945,1,50.208,36.948
181,colony_1160.tiff,1955,166.51,0.886,498525,498525,1.288,0.776,0.97,1,52.229,41.832
182,colony_1161.tiff,2712,230.794,0.64,691560,691560,2.526,0.396,0.949,1,92.677,31.571
183,colony_1162.tiff,1983,173.48,0.828,505665,505665,1.628,0.614,0.955,1,62.303,37.378
184,colony_1163.tiff,2340,186.551,0.845,596700,596700,1.525,0.656,0.967,1,64.539,42.199
185,colony_1164.tiff,1959,171.581,0.836,499545,499545,1.569,0.637,0.957,1,59.148,37.994
186,colony_1165.tiff,1840,182.894,0.691,469200,469200,1.841,0.543,0.878,1,66.975,36.938
187,colony_1166.tiff,2259,183.137,0.846,576045,576045,1.361,0.735,0.943,1,59.972,41.484
188,colony_1167.tiff,1556,168.853,0.686,396780,396780,1.455,0.687,0.786,1,48.955,33.655
189,colony_1168.tiff,2526,191.823,0.863,644130,644130,1.287,0.777,0.961,1,63.783,47.39
190,colony_1169.tiff,1689,158.51,0.845,430695,430695,1.565,0.639,0.963,1,56.88,35.748
191,colony_117.tiff,1530,148.61,0.871,390150,390150,1.457,0.686,0.964,1,50.014,34.088
192,colony_1170.tiff,2702,208.551,0.781,689010,689010,1.65,0.606,0.938,1,71.517,42.033
193,colony_1171.tiff,1789,157.439,0.907,456195,456195,1.211,0.826,0.974,1,49.052,39.351
194,colony_1172.tiff,2273,189.924,0.792,579615,579615,1.83,0.547,0.965,1,71.732,38.695
195,colony_1173.tiff,2540,193.338,0.854,647700,647700,1.31,0.763,0.954,1,57.422,44.479
196,colony_1174.tiff,2707,236.936,0.606,690285,690285,1.388,0.721,0.858,1,67.817,47.65
197,colony_1175.tiff,1863,174.267,0.771,475065,475065,1.407,0.711,0.92,1,54.606,37.167
198,colony_1176.tiff,2326,189.823,0.811,593130,593130,1.373,0.728,0.946,1,57.223,40.184
199,colony_1177.tiff,2513,200.652,0.784,640815,640815,1.177,0.849,0.935,1,53.803,42.692
200,colony_1178.tiff,2045,173.581,0.853,521475,521475,1.435,0.697,0.955,1,57.529,41.144
201,colony_1179.tiff,2702,209.137,0.776,689010,689010,1.159,0.863,0.905,1,57.391,50.228
202,colony_118.tiff,2294,181.581,0.874,584970,584970,1.268,0.789,0.964,1,48.578,41.438
203,colony_1180.tiff,2282,183.238,0.854,581910,581910,1.342,0.745,0.967,1,58.234,43.248
204,colony_1181.tiff,2272,199.823,0.715,579360,579360,1.704,0.587,0.878,1,71.022,42.775
205,colony_1182.tiff,1362,138.125,0.897,347310,347310,1.29,0.775,0.964,1,46.745,34.674
206,colony_1183.tiff,2486,188.51,0.879,633930,633930,1.348,0.742,0.974,1,63.676,45.21
207,colony_1184.tiff,3959,253.137,0.776,1009545,1009545,1.867,0.536,0.974,1,87.002,49.275
208,colony_1185.tiff,1956,168.51,0.866,498780,498780,1.392,0.718,0.966,1,51.908,37.554
209,colony_1186.tiff,1354,150.61,0.75,345270,345270,1.669,0.599,0.902,1,51.024,29.32
210,colony_1187.tiff,2438,195.48,0.802,621690,621690,1.478,0.676,0.938,1,63.46,41.812
211,colony_1188.tiff,2214,180.995,0.849,564570,564570,1.305,0.766,0.93,1,59.921,45.069
212,colony_1189.tiff,1546,150.61,0.856,394230,394230,1.391,0.719,0.951,1,45.944,34.918
213,colony_119.tiff,1895,185.723,0.69,483225,483225,1.505,0.664,0.826,1,62.285,41.497
214,colony_1190.tiff,2567,190.995,0.884,654585,654585,1.328,0.753,0.974,1,62.729,44.269
215,colony_1191.tiff,2025,181.723,0.771,516375,516375,1.252,0.799,0.932,1,51.383,42.942
216,colony_1192.tiff,1298,163.581,0.61,330990,330990,1.553,0.644,0.822,1,51.201,32.899
217,colony_1193.tiff,1950,164.61,0.904,497250,497250,1.076,0.93,0.969,1,46.938,42.588
218,colony_1194.tiff,2112,178.309,0.835,538560,538560,1.531,0.653,0.963,1,64.408,40.901
219,colony_1195.tiff,2123,180.61,0.818,541365,541365,1.773,0.564,0.97,1,64.249,36.484
220,colony_1196.tiff,3831,247.321,0.787,976905,976905,1.384,0.723,0.936,1,79.672,55.055
221,colony_1197.tiff,1584,150.853,0.875,403920,403920,1.039,0.963,0.956,1,41.817,38.425
222,colony_1198.tiff,2521,191.238,0.866,642855,642855,1.247,0.802,0.949,1,47.504,39.883
223,colony_1199.tiff,2021,169.681,0.882,515355,515355,1.206,0.829,0.966,1,53.568,44.804
224,colony_12.tiff,2301,180.995,0.883,586755,586755,1.251,0.799,0.969,1,56.772,44.54
225,colony_120.tiff,1437,144.368,0.866,366435,366435,1.164,0.859,0.96,1,44.112,36.83
226,colony_1200.tiff,2212,176.894,0.888,564060,564060,1.283,0.78,0.968,1,56.155,43.126
227,colony_1201.tiff,1957,172.51,0.826,499035,499035,1.603,0.624,0.967,1,60.817,37.893
228,colony_1202.tiff,1901,166.752,0.859,484755,484755,1.369,0.731,0.962,1,56.545,39.338
229,colony_1203.tiff,1879,166.995,0.847,479145,479145,1.502,0.666,0.964,1,58.518,40.035
230,colony_1204.tiff,1792,159.439,0.886,456960,456960,1.188,0.842,0.966,1,47.446,41.193
231,colony_1205.tiff,1387,147.095,0.806,353685,353685,1.225,0.816,0.95,1,40.577,31.974
232,colony_1206.tiff,2518,192.066,0.858,642090,642090,1.452,0.689,0.97,1,66.881,44.548
233,colony_1207.tiff,1304,139.196,0.846,332520,332520,1.184,0.845,0.941,1,42.921,31.919
234,colony_1208.tiff,2485,188.167,0.882,633675,633675,1.203,0.831,0.97,1,60.464,44.559
235,colony_1209.tiff,1403,182.267,0.531,357765,357765,1.576,0.634,0.875,1,52.606,34.441
236,colony_121.tiff,2161,194.167,0.72,551055,551055,1.363,0.734,0.917,1,43.834,27.101
236,colony_121.tiff,2161,194.167,0.72,551055,551055,1.363,0.734,0.917,1,30.464,10.365
237,colony_1210.tiff,2173,178.995,0.852,554115,554115,1.197,0.835,0.958,1,55.8,47.37
238,colony_1211.tiff,2481,187.581,0.886,632655,632655,1.316,0.76,0.973,1,62.105,48.65
239,colony_1212.tiff,1651,164.995,0.762,421005,421005,1.948,0.513,0.956,1,63.821,32.399
240,colony_1213.tiff,1906,166.368,0.865,486030,486030,1.454,0.688,0.971,1,51.826,39.947
241,colony_1214.tiff,1791,161.539,0.862,456705,456705,1.368,0.731,0.967,1,50.289,37.421
242,colony_1215.tiff,2170,177.723,0.863,553350,553350,1.358,0.737,0.964,1,57.211,41.684
243,colony_1216.tiff,2087,179.681,0.812,532185,532185,1.606,0.623,0.956,1,60.947,37.102
244,colony_1217.tiff,3002,243.723,0.635,765510,765510,2.425,0.412,0.939,1,91.809,37.306
245,colony_1218.tiff,1569,175.782,0.638,400095,400095,1.896,0.527,0.93,1,52.868,32.224
246,colony_1219.tiff,2246,185.581,0.82,572730,572730,1.496,0.669,0.953,1,57.808,37.025
247,colony_122.tiff,1349,136.953,0.904,343995,343995,1.12,0.893,0.964,1,39.443,32.184
248,colony_1220.tiff,2073,184.267,0.767,528615,528615,1.879,0.532,0.953,1,69.364,35.463
249,colony_1221.tiff,2818,202.551,0.863,718590,718590,1.293,0.773,0.966,1,65.377,50.831
250,colony_1222.tiff,1818,173.823,0.756,463590,463590,1.205,0.83,0.913,1,47.523,37.884
251,colony_1223.tiff,4305,251.563,0.855,1097775,1097775,1.423,0.703,0.975,1,81.853,60.867
252,colony_1224.tiff,1923,167.338,0.863,490365,490365,1.453,0.688,0.969,1,57.303,39.084
255,colony_1226.tiff,1968,164.995,0.908,501840,501840,1.138,0.879,0.969,1,47.756,41.885
256,colony_1227.tiff,1862,164.752,0.862,474810,474810,1.41,0.709,0.968,1,56.933,40.166
257,colony_1228.tiff,4356,255.563,0.838,1110780,1110780,1.632,0.613,0.975,1,91.467,55.708
258,colony_1229.tiff,2455,194.208,0.818,626025,626025,1.554,0.644,0.96,1,66.71,41.741
259,colony_123.tiff,2386,193.095,0.804,608430,608430,1.462,0.684,0.943,1,57.778,38.564
260,colony_1230.tiff,2213,176.652,0.891,564315,564315,1.357,0.737,0.971,1,52.989,39.239
261,colony_1231.tiff,2356,183.823,0.876,600780,600780,1.258,0.795,0.963,1,59.237,46.148
262,colony_1232.tiff,2389,187.238,0.856,609195,609195,1.419,0.705,0.968,1,63.737,44.188
263,colony_1233.tiff,1757,158.167,0.883,448035,448035,1.201,0.833,0.963,1,46.744,37.725
264,colony_1234.tiff,2212,179.338,0.864,564060,564060,1.339,0.747,0.966,1,56.597,40.022
265,colony_1235.tiff,2247,180.066,0.871,572985,572985,1.142,0.876,0.96,1,53.238,45.154
266,colony_1236.tiff,2228,184.894,0.819,568140,568140,1.657,0.603,0.961,1,65.309,40.571
267,colony_1237.tiff,1715,156.853,0.876,437325,437325,1.365,0.732,0.968,1,51.207,34.959
268,colony_1238.tiff,2100,176.752,0.845,535500,535500,1.156,0.865,0.954,1,51.399,45.01
269,colony_1239.tiff,1880,181.882,0.714,479400,479400,2.345,0.426,0.968,1,72.135,29.53
270,colony_124.tiff,1473,148.125,0.844,375615,375615,1.231,0.812,0.954,1,39.873,32.443
271,colony_1240.tiff,2427,205.581,0.722,618885,618885,1.995,0.501,0.941,1,63.414,33.631
272,colony_1241.tiff,2097,170.995,0.901,534735,534735,1.179,0.848,0.971,1,51.241,42.59
273,colony_1242.tiff,1683,153.196,0.901,429165,429165,1.07,0.935,0.966,1,41.968,39.319
274,colony_1243.tiff,1716,156.995,0.875,437580,437580,1.406,0.711,0.964,1,54.082,37.669
275,colony_1244.tiff,1367,144.953,0.818,348585,348585,1.598,0.626,0.948,1,51.68,31.412
276,colony_1245.tiff,1444,146.368,0.847,368220,368220,1.19,0.84,0.947,1,42.156,36.002
277,colony_1246.tiff,1906,173.439,0.796,486030,486030,1.737,0.576,0.94,1,61.738,35.802
278,colony_1247.tiff,1563,149.681,0.877,398565,398565,1.116,0.896,0.957,1,44.037,31.977
