 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
184,1 pat p17 7 day od 10x 4_colony_203.tiff,425,76.184,0.92,108375,108375,1.218,0.821,0.956,27.249,22.101
185,1 pat p17 7 day od 10x 4_colony_204.tiff,239,58.184,0.887,60945,60945,1.3,0.769,0.921,21.18,16.591
186,1 pat p17 7 day od 10x 4_colony_205.tiff,258,61.841,0.848,65790,65790,1.69,0.592,0.933,23.565,13.94
187,1 pat p17 7 day od 10x 4_colony_206.tiff,229,59.598,0.81,58395,58395,1.573,0.636,0.9,21.417,13.614
188,1 pat p17 7 day od 10x 4_colony_207.tiff,352,69.598,0.913,89760,89760,1.266,0.79,0.948,23.823,18.813
189,1 pat p17 7 day od 10x 4_colony_208.tiff,276,61.598,0.914,70380,70380,1.353,0.739,0.939,21.803,16.117
190,1 pat p17 7 day od 10x 4_colony_209.tiff,239,58.184,0.887,60945,60945,1.359,0.736,0.926,20.336,14.964
191,1 pat p17 7 day od 10x 5_colony_210.tiff,203,57.113,0.782,51765,51765,2.05,0.488,0.916,23.018,11.229
192,1 pat p17 7 day od 10x 5_colony_211.tiff,628,94.569,0.882,160140,160140,1.45,0.69,0.949,34.047,23.485
193,1 pat p17 7 day od 10x 5_colony_213.tiff,544,88.083,0.881,138720,138720,1.463,0.683,0.951,33.795,23.811
194,1 pat p17 7 day od 10x 5_colony_217.tiff,304,65.598,0.888,77520,77520,1.26,0.794,0.93,24.983,19.774
195,1 pat p17 7 day od 10x 5_colony_218.tiff,347,69.841,0.894,88485,88485,1.333,0.75,0.937,25.582,19.66
196,1 pat p17 7 day od 10x 5_colony_219.tiff,245,57.698,0.925,62475,62475,1.379,0.725,0.95,20.744,15.038
197,1 pat p17 7 day od 10x 5_colony_220.tiff,367,70.77,0.921,93585,93585,1.042,0.959,0.943,23.606,22.276
198,1 pat p17 7 day od 10x 5_colony_221.tiff,393,76.326,0.848,100215,100215,1.617,0.618,0.936,31.41,20.187
199,1 pat p17 7 day od 10x 5_colony_222.tiff,338,69.941,0.868,86190,86190,1.487,0.672,0.944,27.735,20.153
200,1 pat p17 7 day od 10x 5_colony_223.tiff,191,51.698,0.898,48705,48705,1.33,0.752,0.925,20.045,15.435
201,1 pat p17 7 day od 10x 5_colony_224.tiff,319,71.841,0.777,81345,81345,1.9,0.526,0.911,31.248,18.051
202,1 pat p17 7 day od 10x 5_colony_225.tiff,807,111.397,0.817,205785,205785,1.573,0.636,0.938,40.197,25.562
203,1 pat p17 7 day od 10x 5_colony_226.tiff,258,62.184,0.838,65790,65790,1.367,0.732,0.921,21.189,15.503
204,1 pat p17 7 day od 10x 5_colony_227.tiff,329,68.77,0.874,83895,83895,1.507,0.663,0.943,25.129,16.67
205,1 pat p17 7 day od 10x 5_colony_228.tiff,319,68.184,0.862,81345,81345,1.634,0.612,0.941,25.765,15.764
206,1 pat p17 7 day od 10x 5_colony_229.tiff,508,84.669,0.89,129540,129540,1.403,0.713,0.95,30.127,21.47
207,1 pat p17 7 day od 10x 5_colony_230.tiff,420,76.669,0.898,107100,107100,1.317,0.759,0.942,26.542,20.148
208,1 pat p17 7 day od 10x 5_colony_231.tiff,291,62.184,0.946,74205,74205,1.167,0.857,0.948,20.797,17.815
209,1 pat p17 7 day od 10x 5_colony_232.tiff,354,69.012,0.934,90270,90270,1.102,0.907,0.948,22.286,20.225
210,1 pat p17 7 day od 10x 5_colony_233.tiff,490,84.669,0.859,124950,124950,1.528,0.654,0.949,30.877,20.205
211,1 pat p17 7 day od 10x 5_colony_234.tiff,306,66.77,0.863,78030,78030,1.441,0.694,0.942,23.693,16.444
212,1 pat p17 7 day od 10x 5_colony_235.tiff,259,59.941,0.906,66045,66045,1.378,0.726,0.938,23.636,17.077
213,1 pat p17 7 day od 10x 5_colony_236.tiff,341,68.184,0.922,86955,86955,1.257,0.796,0.949,23.361,18.585
214,1 pat p17 7 day od 10x 5_colony_237.tiff,316,66.527,0.897,80580,80580,1.218,0.821,0.948,23.689,19.403
215,1 pat p17 7 day od 10x 5_colony_238.tiff,443,83.154,0.805,112965,112965,1.676,0.597,0.93,30.749,18.344
