 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
527,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_1.tiff,183,51.113,0.880,46665,46665,1.496,0.668,0.917
528,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_10.tiff,243,61.698,0.802,61965,61965,1.845,0.542,0.940
529,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_11.tiff,291,63.841,0.897,74205,74205,1.520,0.658,0.937
530,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_12.tiff,408,78.326,0.836,104040,104040,1.367,0.732,0.929
531,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_13.tiff,518,88.426,0.832,132090,132090,1.487,0.672,0.941
532,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_14.tiff,189,53.355,0.834,48195,48195,1.174,0.852,0.857
533,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_15.tiff,378,76.083,0.821,96390,96390,1.428,0.700,0.909
534,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_16.tiff,418,77.740,0.869,106590,106590,1.329,0.752,0.924
535,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_17.tiff,423,79.012,0.851,107865,107865,1.672,0.598,0.953
536,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_18.tiff,233,56.426,0.920,59415,59415,1.275,0.784,0.925
537,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_19.tiff,212,55.598,0.862,54060,54060,1.283,0.780,0.902
538,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_2.tiff,168,47.941,0.919,42840,42840,1.452,0.689,0.926
539,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_20.tiff,138,44.527,0.875,35190,35190,1.454,0.688,0.893
540,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_21.tiff,534,104.811,0.611,136170,136170,1.740,0.575,0.868
541,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_22.tiff,208,54.184,0.890,53040,53040,1.335,0.749,0.914
542,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_23.tiff,223,56.426,0.880,56865,56865,1.464,0.683,0.923
543,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_24.tiff,147,45.698,0.885,37485,37485,1.402,0.713,0.922
544,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_25.tiff,217,56.184,0.864,55335,55335,1.538,0.650,0.925
545,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_26.tiff,340,69.941,0.873,86700,86700,1.544,0.648,0.946
546,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_27.tiff,132,42.870,0.903,33660,33660,1.251,0.800,0.913
547,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_28.tiff,363,80.184,0.709,92565,92565,2.034,0.492,0.911
548,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_29.tiff,298,67.598,0.820,75990,75990,1.708,0.586,0.924
549,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_3.tiff,278,63.012,0.880,70890,70890,1.369,0.731,0.930
550,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_30.tiff,193,51.698,0.907,49215,49215,1.021,0.980,0.926
551,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_31.tiff,157,45.456,0.955,40035,40035,1.158,0.864,0.937
552,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_32.tiff,286,63.598,0.889,72930,72930,1.370,0.730,0.935
553,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_33.tiff,114,41.698,0.824,29070,29070,1.607,0.622,0.887
554,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_34.tiff,318,67.841,0.868,81090,81090,1.456,0.687,0.934
555,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_35.tiff,358,74.284,0.815,91290,91290,1.579,0.633,0.926
556,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_36.tiff,256,58.770,0.931,65280,65280,1.037,0.964,0.941
557,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_37.tiff,162,46.284,0.950,41310,41310,1.130,0.885,0.934
558,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_38.tiff,222,56.184,0.884,56610,56610,1.549,0.646,0.925
559,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_39.tiff,743,101.983,0.898,189465,189465,1.261,0.793,0.957
560,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_4.tiff,544,87.497,0.893,138720,138720,1.354,0.739,0.951
561,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_40.tiff,114,41.698,0.824,29070,29070,1.607,0.622,0.887
562,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_41.tiff,318,67.841,0.868,81090,81090,1.456,0.687,0.934
563,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_42.tiff,358,74.284,0.815,91290,91290,1.579,0.633,0.926
564,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_44.tiff,256,58.770,0.931,65280,65280,1.037,0.964,0.941
565,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_45.tiff,162,46.284,0.950,41310,41310,1.130,0.885,0.934
566,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_46.tiff,109,38.527,0.923,27795,27795,1.334,0.750,0.897
567,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_48.tiff,222,56.184,0.884,56610,56610,1.549,0.646,0.925
568,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_49.tiff,743,101.983,0.898,189465,189465,1.261,0.793,0.957
569,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_5.tiff,217,54.770,0.909,55335,55335,1.355,0.738,0.935
570,1 pat p17 96h 3 day OD 40x 1_DAPI_colony_6.tiff,214,55.012,0.889,54570,54570,1.384,0.723,0.920
