 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,1 pat p17 96h 40x 1_DAPI_colony_1.tiff,4237,245.279,0.885,1080435,1080435,1.234,0.811,0.978
2,1 pat p17 96h 40x 1_DAPI_colony_2.tiff,5498,280.836,0.876,1401990,1401990,1.373,0.728,0.980
3,1 pat p17 96h 40x 1_DAPI_colony_3.tiff,4904,270.007,0.845,1250520,1250520,1.471,0.680,0.976
4,1 pat p17 96h 40x 1_DAPI_colony_4.tiff,5334,276.693,0.876,1360170,1360170,1.332,0.751,0.977
5,1 pat p17 96h 40x 1_DAPI_colony_5.tiff,6180,300.735,0.859,1575900,1575900,1.392,0.718,0.980
6,1 pat p17 96h 40x 1_DAPI_colony_6.tiff,4170,244.350,0.878,1063350,1063350,1.325,0.755,0.977
7,1 pat p17 96h 40x 1_DAPI_colony_7.tiff,7111,328.191,0.830,1813305,1813305,1.541,0.649,0.974
8,1 pat p17 96h 40x 2_DAPI_colony_10.tiff,5579,286.978,0.851,1422645,1422645,1.404,0.712,0.977
9,1 pat p17 96h 40x 2_DAPI_colony_12.tiff,7420,325.362,0.881,1892100,1892100,1.220,0.820,0.980
10,1 pat p17 96h 40x 2_DAPI_colony_13.tiff,5172,273.078,0.872,1318860,1318860,1.237,0.808,0.976
11,1 pat p17 96h 40x 2_DAPI_colony_8.tiff,8585,350.049,0.880,2189175,2189175,1.366,0.732,0.985
12,1 pat p17 96h 40x 2_DAPI_colony_9.tiff,4362,251.179,0.869,1112310,1112310,1.406,0.711,0.977
13,1 pat p17 96h 40x 3_DAPI_colony_14.tiff,5467,279.421,0.880,1394085,1394085,1.198,0.835,0.979
14,1 pat p17 96h 40x 3_DAPI_colony_15.tiff,4864,266.208,0.863,1240320,1240320,1.284,0.779,0.976
15,1 pat p17 96h 40x 3_DAPI_colony_16.tiff,4572,257.421,0.867,1165860,1165860,1.390,0.719,0.978
16,1 pat p17 96h 40x 3_DAPI_colony_17.tiff,4566,252.350,0.901,1164330,1164330,1.095,0.913,0.980
17,1 pat p17 96h 40x 3_DAPI_colony_19.tiff,4760,264.693,0.854,1213800,1213800,1.455,0.687,0.977
18,1 pat p17 96h 40x 4_DAPI_colony_20.tiff,5806,285.078,0.898,1480530,1480530,1.205,0.830,0.982
19,1 pat p17 96h 40x 4_DAPI_colony_21.tiff,5853,287.664,0.889,1492515,1492515,1.203,0.831,0.981
20,1 pat p17 96h 40x 4_DAPI_colony_22.tiff,5986,319.362,0.738,1526430,1526430,1.293,0.774,0.937
21,1 pat p17 96h 40x 4_DAPI_colony_23.tiff,5942,289.220,0.893,1515210,1515210,1.253,0.798,0.980
22,1 pat p17 96h 40x 4_DAPI_colony_24.tiff,5940,293.078,0.869,1514700,1514700,1.193,0.838,0.978
23,1 pat p17 96h 40x 4_DAPI_colony_25.tiff,6092,296.007,0.874,1553460,1553460,1.181,0.847,0.976
24,1 pat p17 96h 40x 5_DAPI_colony_27.tiff,2996,206.894,0.880,763980,763980,1.386,0.722,0.975
25,1 pat p17 96h 40x 5_DAPI_colony_28.tiff,5257,280.836,0.838,1340535,1340535,1.425,0.702,0.972
26,1 pat p17 96h 40x 5_DAPI_colony_29.tiff,5814,287.907,0.881,1482570,1482570,1.164,0.859,0.978
27,1 pat p17 96h 40x 5_DAPI_colony_30.tiff,4542,255.765,0.873,1158210,1158210,1.173,0.852,0.974
28,1 pat p17 96h 40x 5_DAPI_colony_31.tiff,5156,274.350,0.861,1314780,1314780,1.379,0.725,0.977
29,1 pat p17 96h 40x 5_DAPI_colony_32.tiff,6026,299.421,0.845,1536630,1536630,1.564,0.640,0.983
30,1 pat p17 96h 40x 5_DAPI_colony_33.tiff,4814,264.250,0.866,1227570,1227570,1.313,0.762,0.973
31,1 pat p17 96h 40x 6_DAPI_colony_34.tiff,5354,291.765,0.790,1365270,1365270,1.785,0.560,0.973
32,1 pat p17 96h 40x 6_DAPI_colony_36.tiff,6086,296.049,0.873,1551930,1551930,1.272,0.786,0.978
33,1 pat p17 96h 40x 6_DAPI_colony_37.tiff,6305,310.049,0.824,1607775,1607775,1.429,0.700,0.959
34,1 pat p17 96h 40x 6_DAPI_colony_38.tiff,4620,254.894,0.894,1178100,1178100,1.259,0.794,0.981
35,1 pat p17 96h 40x 6_DAPI_colony_40.tiff,3827,241.765,0.823,975885,975885,1.646,0.608,0.975
36,1 pat p17 96h 40x 6_DAPI_colony_41.tiff,8864,364.818,0.837,2260320,2260320,1.103,0.906,0.960
37,1 pat p17 96h 40x 6_DAPI_colony_42.tiff,5230,277.765,0.852,1333650,1333650,1.343,0.745,0.964
