 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,1 pat p17 96h 10x 1_DAPI_colony_1.tiff,210,54.184,0.899,53550,53550,1.483,0.674,0.925
2,1 pat p17 96h 10x 1_DAPI_colony_10.tiff,288,64.426,0.872,73440,73440,1.472,0.679,0.932
3,1 pat p17 96h 10x 1_DAPI_colony_11.tiff,322,67.012,0.901,82110,82110,1.451,0.689,0.943
4,1 pat p17 96h 10x 1_DAPI_colony_12.tiff,331,67.012,0.926,84405,84405,1.092,0.916,0.938
5,1 pat p17 96h 10x 1_DAPI_colony_13.tiff,195,51.941,0.908,49725,49725,1.457,0.686,0.933
6,1 pat p17 96h 10x 1_DAPI_colony_14.tiff,644,97.539,0.851,164220,164220,1.651,0.606,0.946
7,1 pat p17 96h 10x 1_DAPI_colony_15.tiff,268,60.184,0.930,68340,68340,1.215,0.823,0.935
8,1 pat p17 96h 10x 1_DAPI_colony_16.tiff,276,61.598,0.914,70380,70380,1.401,0.714,0.939
9,1 pat p17 96h 10x 1_DAPI_colony_17.tiff,289,64.184,0.882,73695,73695,1.357,0.737,0.928
10,1 pat p17 96h 10x 1_DAPI_colony_18.tiff,204,53.941,0.881,52020,52020,1.361,0.735,0.923
11,1 pat p17 96h 10x 1_DAPI_colony_19.tiff,341,70.184,0.870,86955,86955,1.588,0.630,0.946
12,1 pat p17 96h 10x 1_DAPI_colony_2.tiff,168,47.113,0.951,42840,42840,1.103,0.907,0.931
13,1 pat p17 96h 10x 1_DAPI_colony_20.tiff,224,55.355,0.919,57120,57120,1.322,0.757,0.939
14,1 pat p17 96h 10x 1_DAPI_colony_21.tiff,190,51.355,0.905,48450,48450,1.247,0.802,0.918
15,1 pat p17 96h 10x 1_DAPI_colony_22.tiff,225,56.527,0.885,57375,57375,1.579,0.633,0.932
16,1 pat p17 96h 10x 1_DAPI_colony_23.tiff,218,55.941,0.875,55590,55590,1.406,0.711,0.930
17,1 pat p17 96h 10x 1_DAPI_colony_24.tiff,225,57.355,0.859,57375,57375,1.449,0.690,0.924
18,1 pat p17 96h 10x 1_DAPI_colony_25.tiff,237,56.184,0.943,60435,60435,1.237,0.808,0.939
19,1 pat p17 96h 10x 1_DAPI_colony_26.tiff,249,59.598,0.881,63495,63495,1.436,0.697,0.926
20,1 pat p17 96h 10x 1_DAPI_colony_27.tiff,100,35.456,1.000,25500,25500,1.115,0.897,0.922
21,1 pat p17 96h 10x 1_DAPI_colony_28.tiff,215,53.941,0.929,54825,54825,1.233,0.811,0.935
22,1 pat p17 96h 10x 1_DAPI_colony_29.tiff,207,53.355,0.914,52785,52785,1.308,0.765,0.932
23,1 pat p17 96h 10x 1_DAPI_colony_3.tiff,286,63.012,0.905,72930,72930,1.246,0.803,0.930
24,1 pat p17 96h 10x 1_DAPI_colony_30.tiff,333,70.912,0.832,84915,84915,1.668,0.599,0.921
25,1 pat p17 96h 10x 1_DAPI_colony_31.tiff,216,53.598,0.945,55080,55080,1.054,0.948,0.929
26,1 pat p17 96h 10x 1_DAPI_colony_33.tiff,163,47.355,0.913,41565,41565,1.349,0.741,0.913
27,1 pat p17 96h 10x 1_DAPI_colony_34.tiff,172,49.698,0.875,43860,43860,1.580,0.633,0.917
28,1 pat p17 96h 10x 1_DAPI_colony_35.tiff,276,63.355,0.864,70380,70380,1.637,0.611,0.940
29,1 pat p17 96h 10x 1_DAPI_colony_36.tiff,851,120.468,0.737,217005,217005,1.954,0.512,0.891
30,1 pat p17 96h 10x 1_DAPI_colony_37.tiff,237,58.527,0.869,60435,60435,1.560,0.641,0.940
31,1 pat p17 96h 10x 1_DAPI_colony_38.tiff,238,57.355,0.909,60690,60690,1.390,0.719,0.932
32,1 pat p17 96h 10x 1_DAPI_colony_39.tiff,259,59.012,0.935,66045,66045,1.156,0.865,0.944
33,1 pat p17 96h 10x 1_DAPI_colony_4.tiff,250,58.770,0.910,63750,63750,1.441,0.694,0.945
34,1 pat p17 96h 10x 1_DAPI_colony_40.tiff,314,66.770,0.885,80070,80070,1.372,0.729,0.939
35,1 pat p17 96h 10x 1_DAPI_colony_41.tiff,318,68.184,0.860,81090,81090,1.484,0.674,0.939
36,1 pat p17 96h 10x 1_DAPI_colony_42.tiff,203,53.598,0.888,51765,51765,1.334,0.749,0.908
37,1 pat p17 96h 10x 1_DAPI_colony_43.tiff,202,53.941,0.872,51510,51510,1.603,0.624,0.933
38,1 pat p17 96h 10x 1_DAPI_colony_44.tiff,282,64.184,0.860,71910,71910,1.357,0.737,0.929
39,1 pat p17 96h 10x 1_DAPI_colony_45.tiff,232,56.770,0.905,59160,59160,1.410,0.709,0.932
40,1 pat p17 96h 10x 1_DAPI_colony_46.tiff,160,46.527,0.929,40800,40800,1.319,0.758,0.922
41,1 pat p17 96h 10x 1_DAPI_colony_47.tiff,256,61.598,0.848,65280,65280,1.570,0.637,0.924
42,1 pat p17 96h 10x 1_DAPI_colony_49.tiff,241,58.184,0.895,61455,61455,1.449,0.690,0.936
43,1 pat p17 96h 10x 1_DAPI_colony_5.tiff,404,75.841,0.883,103020,103020,1.408,0.710,0.942
44,1 pat p17 96h 10x 1_DAPI_colony_50.tiff,204,55.113,0.844,52020,52020,1.522,0.657,0.923
45,1 pat p17 96h 10x 1_DAPI_colony_51.tiff,254,58.770,0.924,64770,64770,1.277,0.783,0.937
46,1 pat p17 96h 10x 1_DAPI_colony_52.tiff,239,57.941,0.895,60945,60945,1.083,0.923,0.923
47,1 pat p17 96h 10x 1_DAPI_colony_53.tiff,339,69.598,0.879,86445,86445,1.447,0.691,0.938
48,1 pat p17 96h 10x 1_DAPI_colony_56.tiff,469,80.569,0.908,119595,119595,1.252,0.798,0.944
49,1 pat p17 96h 10x 1_DAPI_colony_57.tiff,585,90.326,0.901,149175,149175,1.309,0.764,0.954
50,1 pat p17 96h 10x 1_DAPI_colony_58.tiff,238,57.355,0.909,60690,60690,1.335,0.749,0.937
51,1 pat p17 96h 10x 1_DAPI_colony_59.tiff,291,64.184,0.888,74205,74205,1.462,0.684,0.936
52,1 pat p17 96h 10x 1_DAPI_colony_6.tiff,264,60.184,0.916,67320,67320,1.243,0.804,0.936
53,1 pat p17 96h 10x 1_DAPI_colony_60.tiff,251,59.355,0.895,64005,64005,1.389,0.720,0.940
54,1 pat p17 96h 10x 1_DAPI_colony_61.tiff,481,82.326,0.892,122655,122655,1.188,0.842,0.939
55,1 pat p17 96h 10x 1_DAPI_colony_62.tiff,234,55.598,0.951,59670,59670,1.128,0.886,0.934
56,1 pat p17 96h 10x 1_DAPI_colony_63.tiff,424,77.841,0.879,108120,108120,1.416,0.706,0.943
57,1 pat p17 96h 10x 1_DAPI_colony_7.tiff,234,57.598,0.886,59670,59670,1.466,0.682,0.923
58,1 pat p17 96h 10x 1_DAPI_colony_8.tiff,336,68.912,0.889,85680,85680,1.281,0.781,0.929
59,1 pat p17 96h 10x 1_DAPI_colony_9.tiff,289,63.941,0.888,73695,73695,1.469,0.681,0.949
60,1 pat p17 96h 10x 2_DAPI_colony_100.tiff,263,59.841,0.923,67065,67065,1.134,0.882,0.929
61,1 pat p17 96h 10x 2_DAPI_colony_101.tiff,232,58.770,0.844,59160,59160,1.567,0.638,0.926
62,1 pat p17 96h 10x 2_DAPI_colony_102.tiff,265,61.012,0.895,67575,67575,1.473,0.679,0.935
63,1 pat p17 96h 10x 2_DAPI_colony_103.tiff,166,49.113,0.865,42330,42330,1.551,0.645,0.915
64,1 pat p17 96h 10x 2_DAPI_colony_104.tiff,201,51.113,0.967,51255,51255,1.203,0.831,0.950
65,1 pat p17 96h 10x 2_DAPI_colony_105.tiff,184,55.598,0.748,46920,46920,1.230,0.813,0.846
66,1 pat p17 96h 10x 2_DAPI_colony_106.tiff,312,64.770,0.935,79560,79560,1.143,0.875,0.943
67,1 pat p17 96h 10x 2_DAPI_colony_107.tiff,195,53.941,0.842,49725,49725,1.687,0.593,0.929
68,1 pat p17 96h 10x 2_DAPI_colony_108.tiff,215,53.941,0.929,54825,54825,1.201,0.833,0.931
69,1 pat p17 96h 10x 2_DAPI_colony_109.tiff,523,85.497,0.899,133365,133365,1.169,0.855,0.946
70,1 pat p17 96h 10x 2_DAPI_colony_110.tiff,153,82.669,0.281,39015,39015,1.542,0.649,0.602
71,1 pat p17 96h 10x 2_DAPI_colony_111.tiff,212,54.426,0.899,54060,54060,1.172,0.853,0.916
72,1 pat p17 96h 10x 2_DAPI_colony_112.tiff,294,63.255,0.923,74970,74970,1.298,0.770,0.938
73,1 pat p17 96h 10x 2_DAPI_colony_113.tiff,155,46.527,0.900,39525,39525,1.325,0.755,0.912
74,1 pat p17 96h 10x 2_DAPI_colony_114.tiff,237,58.527,0.869,60435,60435,1.328,0.753,0.931
75,1 pat p17 96h 10x 2_DAPI_colony_115.tiff,159,47.355,0.891,40545,40545,1.248,0.801,0.906
76,1 pat p17 96h 10x 2_DAPI_colony_116.tiff,241,59.012,0.870,61455,61455,1.657,0.603,0.927
77,1 pat p17 96h 10x 2_DAPI_colony_117.tiff,589,95.983,0.803,150195,150195,1.663,0.601,0.939
78,1 pat p17 96h 10x 2_DAPI_colony_118.tiff,271,60.426,0.933,69105,69105,1.319,0.758,0.941
79,1 pat p17 96h 10x 2_DAPI_colony_119.tiff,415,78.569,0.845,105825,105825,1.377,0.726,0.929
80,1 pat p17 96h 10x 2_DAPI_colony_120.tiff,206,53.355,0.909,52530,52530,1.144,0.874,0.932
