 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,1 pat p17 96h 3 day OD 40x 1 _DAPI_colony_2.tiff,10593,389.889,0.876,2701215,2701215,1.271,0.787,0.983
2,1 pat p17 96h 3 day OD 40x 1 _DAPI_colony_3.tiff,8244,341.990,0.886,2102220,2102220,1.200,0.833,0.981
3,1 pat p17 96h 3 day OD 40x 1 _DAPI_colony_4.tiff,7267,324.434,0.868,1853085,1853085,1.242,0.805,0.975
4,1 pat p17 96h 3 day OD 40x 2 _DAPI_colony_11.tiff,12495,444.475,0.795,3186225,3186225,1.358,0.737,0.951
5,1 pat p17 96h 3 day OD 40x 2 _DAPI_colony_12.tiff,7043,319.747,0.866,1795965,1795965,1.280,0.781,0.977
6,1 pat p17 96h 3 day OD 40x 2 _DAPI_colony_6.tiff,5314,277.078,0.870,1355070,1355070,1.264,0.791,0.978
7,1 pat p17 96h 3 day OD 40x 2 _DAPI_colony_7.tiff,5088,270.936,0.871,1297440,1297440,1.355,0.738,0.977
8,1 pat p17 96h 3 day OD 40x 2 _DAPI_colony_8.tiff,7536,334.049,0.849,1921680,1921680,1.431,0.699,0.980
9,1 pat p17 96h 3 day OD 40x 2 _DAPI_colony_9.tiff,5865,290.635,0.873,1495575,1495575,1.327,0.753,0.978
10,1 pat p17 96h 3 day OD 40x 3 _DAPI_colony_13.tiff,4244,244.451,0.892,1082220,1082220,1.247,0.802,0.978
11,1 pat p17 96h 3 day OD 40x 3 _DAPI_colony_14.tiff,4540,255.279,0.875,1157700,1157700,1.323,0.756,0.976
12,1 pat p17 96h 3 day OD 40x 3 _DAPI_colony_16.tiff,6677,381.546,0.576,1702635,1702635,1.305,0.766,0.927
13,1 pat p17 96h 3 day OD 40x 3 _DAPI_colony_17.tiff,10775,390.191,0.889,2747625,2747625,1.042,0.960,0.984
