 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
420,1 pat p30 7 day ctrl 10x 1_colony_1.tiff,379,73.497,0.882,96645,96645,1.428,0.700,0.942
421,1 pat p30 7 day ctrl 10x 1_colony_10.tiff,188,50.284,0.934,47940,47940,1.200,0.833,0.935
422,1 pat p30 7 day ctrl 10x 1_colony_11.tiff,280,63.841,0.863,71400,71400,1.444,0.693,0.926
423,1 pat p30 7 day ctrl 10x 1_colony_12.tiff,280,66.326,0.800,71400,71400,1.928,0.519,0.929
424,1 pat p30 7 day ctrl 10x 1_colony_13.tiff,238,58.184,0.883,60690,60690,1.367,0.732,0.928
425,1 pat p30 7 day ctrl 10x 1_colony_14.tiff,208,54.770,0.871,53040,53040,1.406,0.711,0.920
426,1 pat p30 7 day ctrl 10x 1_colony_15.tiff,434,80.426,0.843,110670,110670,1.613,0.620,0.941
427,1 pat p30 7 day ctrl 10x 1_colony_16.tiff,185,51.113,0.890,47175,47175,1.331,0.751,0.927
428,1 pat p30 7 day ctrl 10x 1_colony_17.tiff,248,58.184,0.921,63240,63240,1.205,0.830,0.931
429,1 pat p30 7 day ctrl 10x 1_colony_18.tiff,232,57.698,0.876,59160,59160,1.459,0.685,0.935
430,1 pat p30 7 day ctrl 10x 1_colony_19.tiff,327,67.941,0.890,83385,83385,1.232,0.812,0.945
431,1 pat p30 7 day ctrl 10x 1_colony_2.tiff,255,58.527,0.935,65025,65025,1.209,0.827,0.948
432,1 pat p30 7 day ctrl 10x 1_colony_20.tiff,392,76.083,0.851,99960,99960,1.576,0.635,0.934
433,1 pat p30 7 day ctrl 10x 1_colony_21.tiff,657,100.326,0.820,167535,167535,1.236,0.809,0.921
434,1 pat p30 7 day ctrl 10x 1_colony_22.tiff,261,63.255,0.820,66555,66555,1.691,0.591,0.921
435,1 pat p30 7 day ctrl 10x 1_colony_23.tiff,226,56.184,0.900,57630,57630,1.372,0.729,0.926
436,1 pat p30 7 day ctrl 10x 1_colony_24.tiff,130,43.113,0.879,33150,33150,1.275,0.784,0.897
437,1 pat p30 7 day ctrl 10x 1_colony_25.tiff,255,58.184,0.947,65025,65025,1.126,0.888,0.944
438,1 pat p30 7 day ctrl 10x 1_colony_26.tiff,310,68.083,0.840,79050,79050,1.513,0.661,0.925
439,1 pat p30 7 day ctrl 10x 1_colony_27.tiff,221,54.770,0.926,56355,56355,1.376,0.727,0.931
