 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,1 pat p17 7 day od 40x 2_colony_10.tiff,5947,299.362,0.834,1516485,1516485,1.430,0.700,0.972
2,1 pat p17 7 day od 40x 2_colony_11.tiff,4119,251.321,0.819,1050345,1050345,1.525,0.656,0.959
3,1 pat p17 7 day od 40x 2_colony_4.tiff,3572,371.446,0.325,910860,910860,1.290,0.775,0.765
4,1 pat p17 7 day od 40x 2_colony_5.tiff,4801,269.765,0.829,1224255,1224255,1.531,0.653,0.966
5,1 pat p17 7 day od 40x 2_colony_6.tiff,6104,304.877,0.825,1556520,1556520,1.114,0.897,0.959
6,1 pat p17 7 day od 40x 2_colony_7.tiff,4597,278.392,0.745,1172235,1172235,1.890,0.529,0.950
7,1 pat p17 7 day od 40x 2_colony_8.tiff,5839,339.789,0.636,1488945,1488945,1.810,0.552,0.928
8,1 pat p17 7 day od 40x 2_colony_9.tiff,6169,306.534,0.825,1573095,1573095,1.066,0.938,0.960
9,1 pat p17 7 day od 40x 3_colony_15.tiff,5030,296.291,0.720,1282650,1282650,2.007,0.498,0.958
10,1 pat p17 7 day od 40x 3_colony_16.tiff,4430,257.321,0.841,1129650,1129650,1.517,0.659,0.972
11,1 pat p17 7 day od 40x 3_colony_18.tiff,5149,285.806,0.792,1312995,1312995,1.624,0.616,0.963
12,1 pat p17 7 day od 40x 3_colony_19.tiff,5391,285.362,0.832,1374705,1374705,1.507,0.663,0.967
13,1 pat p17 7 day od 40x 3_colony_20.tiff,5030,276.978,0.824,1282650,1282650,1.267,0.789,0.962
14,1 pat p17 7 day od 40x 3_colony_21.tiff,3631,234.693,0.828,925905,925905,1.440,0.695,0.964
15,1 pat p17 7 day od 40x 4_colony_26.tiff,8018,334.777,0.899,2044590,2044590,1.122,0.891,0.981
16,1 pat p17 7 day od 40x 4_colony_27.tiff,7787,329.706,0.900,1985685,1985685,1.092,0.916,0.982
17,1 pat p17 7 day od 40x 4_colony_28.tiff,4583,267.179,0.807,1168665,1168665,1.299,0.770,0.954
18,1 pat p17 7 day od 40x 4_colony_29.tiff,5402,283.078,0.847,1377510,1377510,1.215,0.823,0.966
19,1 pat p17 7 day od 40x 4_colony_30.tiff,3921,254.350,0.762,999855,999855,1.557,0.642,0.937
20,1 pat p17 7 day od 40x 4_colony_31.tiff,5778,305.220,0.779,1473390,1473390,1.500,0.667,0.962
21,1 pat p17 7 day od 40x 4_colony_32.tiff,3976,240.936,0.861,1013880,1013880,1.078,0.928,0.964
22,1 pat p17 7 day od 40x 4_colony_34.tiff,3830,254.108,0.745,976650,976650,1.545,0.647,0.941
23,1 pat p17 7 day od 40x 4_colony_35.tiff,5749,309.362,0.755,1465995,1465995,1.471,0.680,0.942
24,1 pat p17 7 day od 40x 4_colony_36.tiff,4784,279.865,0.768,1219920,1219920,1.845,0.542,0.968
25,1 pat p17 7 day od 40x 5_colony_42.tiff,6253,315.220,0.791,1594515,1594515,1.386,0.721,0.950
26,1 pat p17 7 day od 40x 5_colony_43.tiff,5514,290.049,0.824,1406070,1406070,1.368,0.731,0.964
27,1 pat p17 7 day od 40x 5_colony_44.tiff,7946,351.706,0.807,2026230,2026230,1.394,0.718,0.966
28,1 pat p17 7 day od 40x 6_colony_49.tiff,4463,325.948,0.528,1138065,1138065,1.195,0.837,0.852
29,1 pat p17 7 day od 40x 6_colony_50.tiff,5234,292.635,0.768,1334670,1334670,1.667,0.600,0.958
30,1 pat p17 7 day od 40x 6_colony_51.tiff,8049,355.563,0.800,2052495,2052495,1.552,0.644,0.966
31,1 pat p17 7 day od 40x 6_colony_52.tiff,4286,264.250,0.771,1092930,1092930,1.789,0.559,0.965
32,1 pat p17 7 day od 40x 6_colony_54.tiff,4750,280.492,0.759,1211250,1211250,1.163,0.860,0.932
