 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,1 pat p17 7 day ctrl 40x 1_colony_4.tiff,5234,275.321,0.868,1334670,1334670,1.283,0.780,0.974
2,1 pat p17 7 day ctrl 40x 1_colony_5.tiff,3512,224.451,0.876,895560,895560,1.354,0.739,0.975
3,1 pat p17 7 day ctrl 40x 1_colony_6.tiff,4642,269.321,0.804,1183710,1183710,1.402,0.713,0.956
4,1 pat p17 7 day ctrl 40x 1_colony_7.tiff,3768,233.137,0.871,960840,960840,1.279,0.782,0.976
5,1 pat p17 7 day ctrl 40x 1_colony_8.tiff,5343,285.907,0.821,1362465,1362465,1.353,0.739,0.964
6,1 pat p17 7 day ctrl 40x 1_colony_9.tiff,8201,346.090,0.860,2091255,2091255,1.357,0.737,0.974
7,1 pat p17 7 day ctrl 40x 2_colony_16.tiff,5134,277.664,0.837,1309170,1309170,1.410,0.709,0.966
8,1 pat p17 7 day ctrl 40x 2_colony_18.tiff,3859,236.451,0.867,984045,984045,1.298,0.770,0.975
9,1 pat p17 7 day ctrl 40x 2_colony_20.tiff,4185,251.664,0.830,1067175,1067175,1.631,0.613,0.971
10,1 pat p17 7 day ctrl 40x 2_colony_21.tiff,5800,306.534,0.776,1479000,1479000,1.598,0.626,0.952
11,1 pat p17 7 day ctrl 40x 2_colony_22.tiff,8446,356.492,0.835,2153730,2153730,1.325,0.755,0.971
12,1 pat p17 7 day ctrl 40x 2_colony_23.tiff,9069,368.818,0.838,2312595,2312595,1.567,0.638,0.980
13,1 pat p17 7 day ctrl 40x 3_colony_27.tiff,4005,249.765,0.807,1021275,1021275,1.466,0.682,0.953
14,1 pat p17 7 day ctrl 40x 3_colony_28.tiff,6388,308.635,0.843,1628940,1628940,1.375,0.727,0.964
15,1 pat p17 7 day ctrl 40x 3_colony_29.tiff,3588,228.208,0.866,914940,914940,1.178,0.849,0.969
16,1 pat p17 7 day ctrl 40x 3_colony_30.tiff,4309,262.451,0.786,1098795,1098795,1.382,0.724,0.932
17,1 pat p17 7 day ctrl 40x 3_colony_31.tiff,1814,244.451,0.381,462570,462570,1.342,0.745,0.836
18,1 pat p17 7 day ctrl 40x 3_colony_32.tiff,1154,187.823,0.411,294270,294270,1.286,0.778,0.740
19,1 pat p17 7 day ctrl 40x 3_colony_33.tiff,3924,247.723,0.804,1000620,1000620,1.438,0.695,0.968
