 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
47,1 pat p17 7 day od 10x 2_colony_6.tiff,308,69.012,27.051,14.497,158.778,0.813,78540,78540,1.866,0.536,0.936
48,1 pat p17 7 day od 10x 2_colony_60.tiff,412,78.083,28.980,18.102,2.228,0.849,105060,105060,1.601,0.625,0.936
49,1 pat p17 7 day od 10x 2_colony_61.tiff,208,52.770,16.628,15.927,127.023,0.939,53040,53040,1.044,0.958,0.924
50,1 pat p17 7 day od 10x 2_colony_62.tiff,291,64.669,20.675,17.921,110.321,0.874,74205,74205,1.154,0.867,0.928
51,1 pat p17 7 day od 10x 2_colony_63.tiff,276,66.326,25.438,13.814,30.412,0.788,70380,70380,1.841,0.543,0.917
52,1 pat p17 7 day od 10x 2_colony_64.tiff,707,110.083,40.585,22.180,50.599,0.733,180285,180285,1.830,0.547,0.943
53,1 pat p17 7 day od 10x 2_colony_65.tiff,311,63.941,21.121,18.748,149.976,0.956,79305,79305,1.127,0.888,0.955
54,1 pat p17 7 day od 10x 2_colony_66.tiff,250,60.426,22.027,14.451,41.061,0.860,63750,63750,1.524,0.656,0.928
55,1 pat p17 7 day od 10x 2_colony_67.tiff,465,83.255,29.966,19.758,83.303,0.843,118575,118575,1.517,0.659,0.938
56,1 pat p17 7 day od 10x 2_colony_68.tiff,264,63.255,22.096,15.213,150.256,0.829,67320,67320,1.452,0.688,0.907
57,1 pat p17 7 day od 10x 2_colony_69.tiff,232,57.941,19.803,14.916,64.735,0.868,59160,59160,1.328,0.753,0.932
58,1 pat p17 7 day od 10x 2_colony_7.tiff,349,70.426,24.514,18.127,163.282,0.884,88995,88995,1.352,0.739,0.938
59,1 pat p17 7 day od 10x 2_colony_70.tiff,245,62.426,22.694,13.746,51.635,0.790,62475,62475,1.651,0.606,0.894
60,1 pat p17 7 day od 10x 2_colony_71.tiff,366,72.426,27.392,17.012,22.718,0.877,93330,93330,1.610,0.621,0.946
61,1 pat p17 7 day od 10x 2_colony_72.tiff,149,44.284,14.412,13.164,136.605,0.955,37995,37995,1.095,0.913,0.925
62,1 pat p17 7 day od 10x 2_colony_73.tiff,298,69.598,20.778,18.261,24.545,0.773,75990,75990,1.138,0.879,0.882
63,1 pat p17 7 day od 10x 2_colony_8.tiff,326,68.083,21.817,19.025,78.122,0.884,83130,83130,1.147,0.872,0.922
64,1 pat p17 7 day od 10x 3_colony_100.tiff,333,69.841,23.488,18.051,10.950,0.858,84915,84915,1.301,0.769,0.931
65,1 pat p17 7 day od 10x 3_colony_101.tiff,381,73.497,25.479,19.039,140.088,0.886,97155,97155,1.338,0.747,0.938
66,1 pat p17 7 day od 10x 3_colony_102.tiff,323,68.083,24.816,16.572,145.565,0.876,82365,82365,1.497,0.668,0.932
67,1 pat p17 7 day od 10x 3_colony_103.tiff,335,70.326,24.703,17.267,114.821,0.851,85425,85425,1.431,0.699,0.920
68,1 pat p17 7 day od 10x 3_colony_104.tiff,677,98.811,35.825,24.061,23.241,0.871,172635,172635,1.489,0.672,0.952
69,1 pat p17 7 day od 10x 3_colony_105.tiff,412,79.012,29.112,18.019,96.828,0.829,105060,105060,1.616,0.619,0.947
70,1 pat p17 7 day od 10x 3_colony_106.tiff,250,59.598,21.748,14.636,48.408,0.884,63750,63750,1.486,0.673,0.936
71,1 pat p17 7 day od 10x 3_colony_107.tiff,209,54.426,19.647,13.544,137.421,0.887,53295,53295,1.451,0.689,0.919
72,1 pat p17 7 day od 10x 3_colony_108.tiff,276,62.426,22.195,15.833,33.533,0.890,70380,70380,1.402,0.713,0.934
73,1 pat p17 7 day od 10x 3_colony_109.tiff,269,61.598,20.957,16.343,24.243,0.891,68595,68595,1.282,0.780,0.937
74,1 pat p17 7 day od 10x 3_colony_110.tiff,212,53.355,18.836,14.330,12.855,0.936,54060,54060,1.314,0.761,0.934
75,1 pat p17 7 day od 10x 3_colony_111.tiff,192,52.284,19.279,12.680,102.352,0.883,48960,48960,1.520,0.658,0.930
76,1 pat p17 7 day od 10x 3_colony_113.tiff,342,74.569,29.642,14.690,46.784,0.773,87210,87210,2.018,0.496,0.896
77,1 pat p17 7 day od 10x 3_colony_114.tiff,301,65.841,22.748,16.847,127.663,0.873,76755,76755,1.350,0.741,0.923
78,1 pat p17 7 day od 10x 3_colony_115.tiff,314,67.355,23.987,16.668,1.057,0.870,80070,80070,1.439,0.695,0.939
79,1 pat p17 7 day od 10x 3_colony_116.tiff,253,62.184,24.563,13.114,156.110,0.822,64515,64515,1.873,0.534,0.934
80,1 pat p17 7 day od 10x 3_colony_117.tiff,286,64.083,21.401,17.015,37.791,0.875,72930,72930,1.258,0.795,0.912
81,1 pat p17 7 day od 10x 3_colony_118.tiff,203,53.355,19.535,13.231,24.225,0.896,51765,51765,1.476,0.677,0.929
82,1 pat p17 7 day od 10x 3_colony_119.tiff,553,88.326,28.793,24.454,16.761,0.891,141015,141015,1.177,0.849,0.945
83,1 pat p17 7 day od 10x 3_colony_120.tiff,360,74.426,28.231,16.236,32.588,0.817,91800,91800,1.739,0.575,0.938
84,1 pat p17 7 day od 10x 3_colony_121.tiff,298,67.841,25.454,14.907,14.718,0.814,75990,75990,1.708,0.586,0.913
85,1 pat p17 7 day od 10x 3_colony_122.tiff,274,64.426,24.613,14.174,54.769,0.830,69870,69870,1.737,0.576,0.926
86,1 pat p17 7 day od 10x 3_colony_123.tiff,324,69.255,25.321,16.292,41.864,0.849,82620,82620,1.554,0.643,0.927
87,1 pat p17 7 day od 10x 3_colony_124.tiff,171,47.698,16.305,13.353,133.838,0.944,43605,43605,1.221,0.819,0.932
88,1 pat p17 7 day od 10x 3_colony_125.tiff,293,69.841,26.076,14.307,130.349,0.755,74715,74715,1.823,0.549,0.883
89,1 pat p17 7 day od 10x 3_colony_126.tiff,232,62.426,25.838,11.432,151.854,0.748,59160,59160,2.260,0.442,0.899
90,1 pat p17 7 day od 10x 3_colony_127.tiff,151,44.870,14.356,13.392,3.747,0.942,38505,38505,1.072,0.933,0.935
