 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
325,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_12.tiff,1963,169.924,60.951,41.006,150.343,0.854,500565,500565,1.486,0.673,0.963
326,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_13.tiff,1662,157.439,57.293,36.935,155.166,0.843,423810,423810,1.551,0.645,0.965
327,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_14.tiff,1528,147.196,50.457,38.558,141.956,0.886,389640,389640,1.309,0.764,0.964
328,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_15.tiff,1844,161.924,55.138,42.581,165.353,0.884,470220,470220,1.295,0.772,0.968
329,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_16.tiff,2221,176.752,59.707,47.362,148.458,0.893,566355,566355,1.261,0.793,0.972
330,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_17.tiff,1770,158.953,56.445,39.926,168.705,0.880,451350,451350,1.414,0.707,0.972
331,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_2.tiff,1968,167.581,56.379,44.444,45.509,0.881,501840,501840,1.269,0.788,0.966
332,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_3.tiff,1650,155.782,54.675,38.424,8.982,0.854,420750,420750,1.423,0.703,0.960
333,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_4.tiff,2241,177.480,59.236,48.169,53.032,0.894,571455,571455,1.230,0.813,0.968
334,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_5.tiff,1652,155.196,53.735,39.143,13.063,0.862,421260,421260,1.373,0.728,0.966
335,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_6.tiff,1651,154.953,56.005,37.535,86.107,0.864,421005,421005,1.492,0.670,0.968
336,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_7.tiff,1700,161.238,58.055,37.284,139.527,0.822,433500,433500,1.557,0.642,0.946
337,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_8.tiff,2284,183.095,66.712,43.592,0.104,0.856,582420,582420,1.530,0.653,0.973
338,8 pat ctrl KI67 (561) 40X_0004_C001T001_colony_9.tiff,2230,177.581,58.577,48.472,91.708,0.889,568650,568650,1.208,0.827,0.969
339,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_10.tiff,1914,165.196,57.476,42.400,10.483,0.881,488070,488070,1.356,0.738,0.971
340,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_11.tiff,3434,234.409,83.740,52.213,172.227,0.785,875670,875670,1.604,0.624,0.962
341,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_12.tiff,1697,155.439,54.421,39.703,111.695,0.883,432735,432735,1.371,0.730,0.970
342,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_13.tiff,1941,163.924,53.625,46.086,117.757,0.908,494955,494955,1.164,0.859,0.969
343,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_14.tiff,1920,165.681,55.834,43.784,14.727,0.879,489600,489600,1.275,0.784,0.969
344,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_15.tiff,3447,227.279,79.595,55.140,118.555,0.839,878985,878985,1.444,0.693,0.960
345,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_16.tiff,1900,168.267,60.604,39.917,106.469,0.843,484500,484500,1.518,0.659,0.964
346,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_17.tiff,3092,207.723,63.969,61.543,154.643,0.900,788460,788460,1.039,0.962,0.974
347,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_18.tiff,1869,167.480,59.318,40.117,138.133,0.837,476595,476595,1.479,0.676,0.950
348,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_19.tiff,1860,162.167,55.189,42.911,139.407,0.889,474300,474300,1.286,0.778,0.967
349,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_2.tiff,2728,194.652,61.649,56.342,19.445,0.905,695640,695640,1.094,0.914,0.973
350,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_3.tiff,2278,182.894,66.477,43.631,35.312,0.856,580890,580890,1.524,0.656,0.969
351,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_4.tiff,2284,177.581,55.499,52.398,173.633,0.910,582420,582420,1.059,0.944,0.972
352,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_5.tiff,2488,192.510,69.566,45.537,9.993,0.844,634440,634440,1.528,0.655,0.969
353,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_6.tiff,2217,177.338,59.886,47.136,179.820,0.886,565335,565335,1.271,0.787,0.970
354,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_7.tiff,2257,180.610,63.369,45.349,12.391,0.869,575535,575535,1.397,0.716,0.964
355,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_8.tiff,1659,153.782,53.077,39.797,179.557,0.882,423045,423045,1.334,0.750,0.968
356,8 pat ctrl KI67 (561) 40X_0005_C001T001_colony_9.tiff,2135,174.510,59.329,45.819,175.349,0.881,544425,544425,1.295,0.772,0.969
357,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_10.tiff,2356,183.095,61.888,48.471,147.349,0.883,600780,600780,1.277,0.783,0.971
358,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_11.tiff,1842,162.167,54.153,43.309,135.098,0.880,469710,469710,1.250,0.800,0.966
359,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_12.tiff,2840,203.723,71.856,50.323,127.865,0.860,724200,724200,1.428,0.700,0.967
360,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_13.tiff,1697,157.196,56.769,38.061,162.991,0.863,432735,432735,1.492,0.670,0.969
361,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_14.tiff,2066,174.995,64.704,40.654,145.739,0.848,526830,526830,1.592,0.628,0.970
362,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_15.tiff,2029,169.924,56.921,45.385,134.697,0.883,517395,517395,1.254,0.797,0.966
363,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_16.tiff,1999,168.167,57.236,44.469,154.529,0.888,509745,509745,1.287,0.777,0.970
364,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_17.tiff,2007,169.782,58.982,43.325,105.895,0.875,511785,511785,1.361,0.735,0.971
365,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_18.tiff,1737,155.196,51.890,42.621,108.178,0.906,442935,442935,1.217,0.821,0.971
366,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_19.tiff,2504,193.338,70.357,45.315,177.488,0.842,638520,638520,1.553,0.644,0.968
367,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_2.tiff,1640,158.125,59.493,35.098,172.234,0.824,418200,418200,1.695,0.590,0.967
368,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_21.tiff,2071,178.995,65.765,40.095,132.763,0.812,528105,528105,1.640,0.610,0.965
369,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_22.tiff,1752,158.024,53.253,41.889,102.110,0.882,446760,446760,1.271,0.787,0.967
370,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_23.tiff,2263,176.995,54.914,52.470,169.413,0.908,577065,577065,1.047,0.956,0.972
371,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_24.tiff,2130,173.924,58.432,46.413,121.478,0.885,543150,543150,1.259,0.794,0.970
372,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_3.tiff,2124,174.267,60.799,44.480,162.660,0.879,541620,541620,1.367,0.732,0.972
