 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,7 pat ctrl KI67 (561) 60X_0001_C001T001_colony_2.tiff,3550,225.480,0.877,905250,905250,1.204,0.831,0.974
2,7 pat ctrl KI67 (561) 60X_0001_C001T001_colony_6.tiff,4648,257.279,0.882,1185240,1185240,1.291,0.774,0.979
3,7 pat ctrl KI67 (561) 60X_0001_C001T001_colony_8.tiff,3221,217.137,0.858,821355,821355,1.405,0.712,0.967
4,7 pat ctrl KI67 (561) 60X_C001T001_colony_10.tiff,4236,247.723,0.867,1080180,1080180,1.273,0.786,0.970
5,7 pat ctrl KI67 (561) 60X_C001T001_colony_11.tiff,4047,246.693,0.836,1031985,1031985,1.410,0.709,0.967
6,7 pat ctrl KI67 (561) 60X_C001T001_colony_2.tiff,4207,243.865,0.889,1072785,1072785,1.271,0.787,0.976
7,7 pat ctrl KI67 (561) 60X_C001T001_colony_3.tiff,4674,258.492,0.879,1191870,1191870,1.428,0.700,0.979
8,7 pat ctrl KI67 (561) 60X_C001T001_colony_4.tiff,4956,263.078,0.900,1263780,1263780,1.124,0.890,0.978
9,7 pat ctrl KI67 (561) 60X_C001T001_colony_5.tiff,4451,264.978,0.797,1135005,1135005,1.469,0.681,0.952
10,7 pat ctrl KI67 (561) 60X_C001T001_colony_6.tiff,4482,251.037,0.894,1142910,1142910,1.179,0.848,0.978
11,7 pat ctrl KI67 (561) 60X_C001T001_colony_7.tiff,7125,330.434,0.820,1816875,1816875,1.611,0.621,0.976
12,7 pat ctrl KI67 (561) 60X_C001T001_colony_8.tiff,4455,255.078,0.860,1136025,1136025,1.316,0.760,0.966
13,7 pat ctrl KI67 (561)_0001_C001T001_colony_10.tiff,2274,183.137,0.852,579870,579870,1.480,0.676,0.961
14,7 pat ctrl KI67 (561)_0001_C001T001_colony_11.tiff,2399,186.066,0.871,611745,611745,1.446,0.691,0.968
15,7 pat ctrl KI67 (561)_0001_C001T001_colony_13.tiff,1798,159.681,0.886,458490,458490,1.285,0.778,0.968
16,7 pat ctrl KI67 (561)_0001_C001T001_colony_14.tiff,1668,157.782,0.842,425340,425340,1.317,0.759,0.957
17,7 pat ctrl KI67 (561)_0001_C001T001_colony_15.tiff,2442,189.723,0.853,622710,622710,1.479,0.676,0.965
18,7 pat ctrl KI67 (561)_0001_C001T001_colony_16.tiff,1670,157.196,0.849,425850,425850,1.494,0.669,0.962
19,7 pat ctrl KI67 (561)_0001_C001T001_colony_2.tiff,1948,166.853,0.879,496740,496740,1.316,0.760,0.972
20,7 pat ctrl KI67 (561)_0001_C001T001_colony_4.tiff,1796,161.439,0.866,457980,457980,1.409,0.710,0.968
21,7 pat ctrl KI67 (561)_0001_C001T001_colony_6.tiff,2506,191.581,0.858,639030,639030,1.421,0.704,0.966
22,7 pat ctrl KI67 (561)_0001_C001T001_colony_7.tiff,1847,168.167,0.821,470985,470985,1.512,0.662,0.951
23,7 pat ctrl KI67 (561)_0001_C001T001_colony_8.tiff,2061,172.167,0.874,525555,525555,1.295,0.772,0.964
24,7 pat ctrl KI67 (561)_0001_C001T001_colony_9.tiff,1956,165.338,0.899,498780,498780,1.271,0.787,0.970
25,7 pat ctrl KI67 (561)_0002_C001T001_colony_10.tiff,1942,169.681,0.848,495210,495210,1.447,0.691,0.963
26,7 pat ctrl KI67 (561)_0002_C001T001_colony_11.tiff,2288,186.267,0.829,583440,583440,1.543,0.648,0.966
27,7 pat ctrl KI67 (561)_0002_C001T001_colony_12.tiff,1920,168.267,0.852,489600,489600,1.438,0.695,0.966
28,7 pat ctrl KI67 (561)_0002_C001T001_colony_13.tiff,1935,166.167,0.881,493425,493425,1.327,0.754,0.966
29,7 pat ctrl KI67 (561)_0002_C001T001_colony_15.tiff,2066,173.338,0.864,526830,526830,1.305,0.766,0.963
30,7 pat ctrl KI67 (561)_0002_C001T001_colony_17.tiff,2600,194.752,0.861,663000,663000,1.391,0.719,0.966
31,7 pat ctrl KI67 (561)_0002_C001T001_colony_18.tiff,2048,170.024,0.890,522240,522240,1.202,0.832,0.967
32,7 pat ctrl KI67 (561)_0002_C001T001_colony_2.tiff,2309,183.966,0.857,588795,588795,1.621,0.617,0.973
33,7 pat ctrl KI67 (561)_0002_C001T001_colony_3.tiff,1956,168.853,0.862,498780,498780,1.369,0.731,0.962
34,7 pat ctrl KI67 (561)_0002_C001T001_colony_4.tiff,1624,154.953,0.850,414120,414120,1.456,0.687,0.965
35,7 pat ctrl KI67 (561)_0002_C001T001_colony_5.tiff,2139,172.995,0.898,545445,545445,1.228,0.814,0.972
36,7 pat ctrl KI67 (561)_0002_C001T001_colony_6.tiff,2889,200.894,0.900,736695,736695,1.302,0.768,0.977
37,7 pat ctrl KI67 (561)_0002_C001T001_colony_7.tiff,1784,160.024,0.875,454920,454920,1.284,0.779,0.964
38,7 pat ctrl KI67 (561)_0002_C001T001_colony_8.tiff,2279,180.995,0.874,581145,581145,1.321,0.757,0.968
39,7 pat ctrl KI67 (561)_0002_C001T001_colony_9.tiff,1236,131.296,0.901,315180,315180,1.294,0.773,0.968
40,7 pat ctrl KI67 (561)_0003_C001T001_colony_12.tiff,1873,164.024,0.875,477615,477615,1.274,0.785,0.962
41,7 pat ctrl KI67 (561)_0003_C001T001_colony_13.tiff,2169,176.167,0.878,553095,553095,1.191,0.840,0.965
42,7 pat ctrl KI67 (561)_0003_C001T001_colony_14.tiff,2363,183.238,0.884,602565,602565,1.320,0.757,0.968
