 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
279,7 pat p30 7 day ctrl 10x 2_colony_294.tiff,192,51.941,17.241,14.179,64.271,0.894,48960,48960,1.216,0.822,0.916
280,7 pat p30 7 day ctrl 10x 2_colony_295.tiff,234,55.941,19.106,15.594,6.135,0.940,59670,59670,1.225,0.816,0.938
281,7 pat p30 7 day ctrl 10x 2_colony_296.tiff,212,53.355,18.449,14.631,41.217,0.936,54060,54060,1.261,0.793,0.940
282,7 pat p30 7 day ctrl 10x 2_colony_297.tiff,288,62.770,21.199,17.297,105.120,0.919,73440,73440,1.226,0.816,0.943
283,7 pat p30 7 day ctrl 10x 2_colony_298.tiff,273,60.770,20.376,17.059,167.033,0.929,69615,69615,1.194,0.837,0.937
284,7 pat p30 7 day ctrl 10x 2_colony_299.tiff,210,53.355,18.431,14.507,118.534,0.927,53550,53550,1.271,0.787,0.929
285,7 pat p30 7 day ctrl 10x 2_colony_300.tiff,225,55.113,19.119,14.984,153.375,0.931,57375,57375,1.276,0.784,0.939
286,7 pat p30 7 day ctrl 10x 2_colony_301.tiff,225,55.698,20.225,14.165,98.528,0.911,57375,57375,1.428,0.700,0.941
287,7 pat p30 7 day ctrl 10x 2_colony_302.tiff,181,49.113,16.609,13.875,74.610,0.943,46155,46155,1.197,0.835,0.938
288,7 pat p30 7 day ctrl 10x 2_colony_303.tiff,396,74.426,25.558,19.728,170.141,0.898,100980,100980,1.296,0.772,0.944
289,7 pat p30 7 day ctrl 10x 2_colony_304.tiff,210,53.941,19.090,14.006,110.836,0.907,53550,53550,1.363,0.734,0.931
290,7 pat p30 7 day ctrl 10x 2_colony_305.tiff,199,51.113,17.189,14.741,70.715,0.957,50745,50745,1.166,0.858,0.943
291,7 pat p30 7 day ctrl 10x 2_colony_306.tiff,220,54.527,18.344,15.270,45.153,0.930,56100,56100,1.201,0.832,0.934
292,7 pat p30 7 day ctrl 10x 2_colony_307.tiff,237,55.941,19.360,15.587,53.960,0.952,60435,60435,1.242,0.805,0.944
293,7 pat p30 7 day ctrl 10x 2_colony_308.tiff,206,53.113,18.213,14.401,112.763,0.918,52530,52530,1.265,0.791,0.930
294,7 pat p30 7 day ctrl 10x 2_colony_309.tiff,270,60.184,19.765,17.393,67.047,0.937,68850,68850,1.136,0.880,0.936
295,7 pat p30 7 day ctrl 10x 2_colony_310.tiff,269,60.770,21.341,16.049,94.440,0.915,68595,68595,1.330,0.752,0.942
296,7 pat p30 7 day ctrl 10x 2_colony_311.tiff,238,58.184,19.511,15.532,130.759,0.883,60690,60690,1.256,0.796,0.926
297,7 pat p30 7 day ctrl 10x 2_colony_312.tiff,289,63.255,22.905,16.065,38.786,0.908,73695,73695,1.426,0.701,0.937
