 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,7 pat p30 7 day ctrl 10x 1_colony_1.tiff,238,55.698,0.964,60690,60690,1.145,0.874,0.952
2,7 pat p30 7 day ctrl 10x 1_colony_10.tiff,203,51.941,0.946,51765,51765,1.262,0.793,0.933
3,7 pat p30 7 day ctrl 10x 1_colony_100.tiff,180,48.527,0.961,45900,45900,1.223,0.817,0.933
4,7 pat p30 7 day ctrl 10x 1_colony_101.tiff,219,53.355,0.967,55845,55845,1.173,0.853,0.940
5,7 pat p30 7 day ctrl 10x 1_colony_102.tiff,174,49.113,0.907,44370,44370,1.335,0.749,0.926
6,7 pat p30 7 day ctrl 10x 1_colony_103.tiff,235,56.870,0.913,59925,59925,1.145,0.873,0.944
7,7 pat p30 7 day ctrl 10x 1_colony_104.tiff,171,47.113,0.968,43605,43605,1.175,0.851,0.932
8,7 pat p30 7 day ctrl 10x 1_colony_105.tiff,205,52.770,0.925,52275,52275,1.319,0.758,0.932
9,7 pat p30 7 day ctrl 10x 1_colony_106.tiff,178,50.527,0.876,45390,45390,1.555,0.643,0.927
10,7 pat p30 7 day ctrl 10x 1_colony_107.tiff,191,50.527,0.940,48705,48705,1.254,0.798,0.932
11,7 pat p30 7 day ctrl 10x 1_colony_108.tiff,228,56.184,0.908,58140,58140,1.205,0.830,0.923
12,7 pat p30 7 day ctrl 10x 1_colony_109.tiff,200,51.941,0.932,51000,51000,1.307,0.765,0.932
13,7 pat p30 7 day ctrl 10x 1_colony_11.tiff,222,53.941,0.959,56610,56610,1.129,0.886,0.939
14,7 pat p30 7 day ctrl 10x 1_colony_110.tiff,329,66.426,0.937,83895,83895,1.211,0.826,0.947
15,7 pat p30 7 day ctrl 10x 1_colony_111.tiff,225,55.012,0.934,57375,57375,1.120,0.892,0.926
16,7 pat p30 7 day ctrl 10x 1_colony_112.tiff,208,54.284,0.887,53040,53040,1.266,0.790,0.929
17,7 pat p30 7 day ctrl 10x 1_colony_113.tiff,190,51.698,0.893,48450,48450,1.348,0.742,0.929
18,7 pat p30 7 day ctrl 10x 1_colony_114.tiff,242,57.355,0.924,61710,61710,1.266,0.790,0.934
19,7 pat p30 7 day ctrl 10x 1_colony_115.tiff,202,51.698,0.950,51510,51510,1.289,0.776,0.944
20,7 pat p30 7 day ctrl 10x 1_colony_116.tiff,159,47.113,0.900,40545,40545,1.322,0.756,0.919
21,7 pat p30 7 day ctrl 10x 1_colony_117.tiff,245,59.598,0.867,62475,62475,1.338,0.747,0.916
22,7 pat p30 7 day ctrl 10x 1_colony_118.tiff,199,52.527,0.906,50745,50745,1.063,0.941,0.923
23,7 pat p30 7 day ctrl 10x 1_colony_119.tiff,184,49.698,0.936,46920,46920,1.372,0.729,0.944
24,7 pat p30 7 day ctrl 10x 1_colony_120.tiff,195,51.941,0.908,49725,49725,1.331,0.752,0.931
25,7 pat p30 7 day ctrl 10x 1_colony_121.tiff,203,53.941,0.877,51765,51765,1.300,0.769,0.923
26,7 pat p30 7 day ctrl 10x 1_colony_122.tiff,257,61.012,0.868,65535,65535,1.531,0.653,0.928
27,7 pat p30 7 day ctrl 10x 1_colony_123.tiff,186,49.941,0.937,47430,47430,1.228,0.815,0.928
28,7 pat p30 7 day ctrl 10x 1_colony_124.tiff,189,50.284,0.939,48195,48195,1.201,0.833,0.940
29,7 pat p30 7 day ctrl 10x 1_colony_125.tiff,156,45.456,0.949,39780,39780,1.274,0.785,0.943
30,7 pat p30 7 day ctrl 10x 1_colony_126.tiff,175,49.355,0.903,44625,44625,1.269,0.788,0.916
31,7 pat p30 7 day ctrl 10x 1_colony_127.tiff,218,55.941,0.875,55590,55590,1.529,0.654,0.930
32,7 pat p30 7 day ctrl 10x 1_colony_128.tiff,162,46.284,0.950,41310,41310,1.303,0.768,0.945
33,7 pat p30 7 day ctrl 10x 1_colony_129.tiff,490,82.083,0.914,124950,124950,1.316,0.760,0.951
34,7 pat p30 7 day ctrl 10x 1_colony_130.tiff,158,45.698,0.951,40290,40290,1.355,0.738,0.935
35,7 pat p30 7 day ctrl 10x 1_colony_131.tiff,196,51.941,0.913,49980,49980,1.369,0.731,0.929
36,7 pat p30 7 day ctrl 10x 1_colony_132.tiff,194,51.113,0.933,49470,49470,1.145,0.873,0.933
37,7 pat p30 7 day ctrl 10x 1_colony_133.tiff,211,52.527,0.961,53805,53805,1.123,0.890,0.938
38,7 pat p30 7 day ctrl 10x 1_colony_134.tiff,226,55.355,0.927,57630,57630,1.278,0.783,0.930
39,7 pat p30 7 day ctrl 10x 1_colony_135.tiff,192,50.770,0.936,48960,48960,1.214,0.824,0.925
40,7 pat p30 7 day ctrl 10x 1_colony_136.tiff,181,49.941,0.912,46155,46155,1.098,0.911,0.914
41,7 pat p30 7 day ctrl 10x 1_colony_137.tiff,192,51.113,0.924,48960,48960,1.273,0.786,0.928
42,7 pat p30 7 day ctrl 10x 1_colony_138.tiff,188,51.113,0.904,47940,47940,1.463,0.684,0.935
43,7 pat p30 7 day ctrl 10x 1_colony_139.tiff,240,56.527,0.944,61200,61200,1.228,0.814,0.943
44,7 pat p30 7 day ctrl 10x 1_colony_14.tiff,258,58.770,0.939,65790,65790,1.176,0.850,0.935
45,7 pat p30 7 day ctrl 10x 1_colony_140.tiff,176,49.355,0.908,44880,44880,1.216,0.823,0.921
46,7 pat p30 7 day ctrl 10x 1_colony_141.tiff,184,50.527,0.906,46920,46920,1.380,0.725,0.934
47,7 pat p30 7 day ctrl 10x 1_colony_142.tiff,223,55.113,0.923,56865,56865,1.280,0.781,0.935
48,7 pat p30 7 day ctrl 10x 1_colony_143.tiff,179,49.456,0.920,45645,45645,1.247,0.802,0.940
49,7 pat p30 7 day ctrl 10x 1_colony_144.tiff,200,52.527,0.911,51000,51000,1.299,0.770,0.926
50,7 pat p30 7 day ctrl 10x 1_colony_145.tiff,179,48.284,0.965,45645,45645,1.271,0.787,0.945
51,7 pat p30 7 day ctrl 10x 1_colony_146.tiff,228,55.113,0.943,58140,58140,1.186,0.843,0.942
52,7 pat p30 7 day ctrl 10x 1_colony_147.tiff,227,56.770,0.885,57885,57885,1.303,0.767,0.925
53,7 pat p30 7 day ctrl 10x 1_colony_148.tiff,234,56.527,0.920,59670,59670,1.402,0.713,0.940
54,7 pat p30 7 day ctrl 10x 1_colony_149.tiff,178,49.941,0.897,45390,45390,1.366,0.732,0.915
55,7 pat p30 7 day ctrl 10x 1_colony_15.tiff,213,53.355,0.940,54315,54315,1.196,0.836,0.932
56,7 pat p30 7 day ctrl 10x 1_colony_150.tiff,195,50.284,0.969,49725,49725,1.219,0.820,0.949
57,7 pat p30 7 day ctrl 10x 1_colony_151.tiff,268,59.941,0.937,68340,68340,1.170,0.855,0.945
58,7 pat p30 7 day ctrl 10x 1_colony_152.tiff,253,58.527,0.928,64515,64515,1.288,0.777,0.939
59,7 pat p30 7 day ctrl 10x 1_colony_153.tiff,224,54.770,0.938,57120,57120,1.246,0.803,0.933
60,7 pat p30 7 day ctrl 10x 1_colony_154.tiff,216,53.941,0.933,55080,55080,1.296,0.772,0.935
61,7 pat p30 7 day ctrl 10x 1_colony_155.tiff,392,73.012,0.924,99960,99960,1.206,0.829,0.949
62,7 pat p30 7 day ctrl 10x 1_colony_156.tiff,203,52.870,0.913,51765,51765,1.461,0.684,0.949
63,7 pat p30 7 day ctrl 10x 1_colony_157.tiff,265,59.355,0.945,67575,67575,1.294,0.773,0.948
64,7 pat p30 7 day ctrl 10x 1_colony_158.tiff,194,51.941,0.904,49470,49470,1.379,0.725,0.924
65,7 pat p30 7 day ctrl 10x 1_colony_159.tiff,192,50.527,0.945,48960,48960,1.246,0.802,0.932
66,7 pat p30 7 day ctrl 10x 1_colony_16.tiff,211,53.355,0.931,53805,53805,1.227,0.815,0.927
67,7 pat p30 7 day ctrl 10x 1_colony_160.tiff,175,48.870,0.921,44625,44625,1.344,0.744,0.941
68,7 pat p30 7 day ctrl 10x 1_colony_161.tiff,302,63.598,0.938,77010,77010,1.164,0.859,0.947
69,7 pat p30 7 day ctrl 10x 1_colony_162.tiff,226,53.941,0.976,57630,57630,1.189,0.841,0.954
70,7 pat p30 7 day ctrl 10x 1_colony_163.tiff,206,52.284,0.947,52530,52530,1.168,0.856,0.945
71,7 pat p30 7 day ctrl 10x 1_colony_164.tiff,252,59.012,0.909,64260,64260,1.189,0.841,0.925
72,7 pat p30 7 day ctrl 10x 1_colony_165.tiff,356,70.426,0.902,90780,90780,1.427,0.701,0.944
73,7 pat p30 7 day ctrl 10x 1_colony_166.tiff,187,49.941,0.942,47685,47685,1.102,0.907,0.926
74,7 pat p30 7 day ctrl 10x 1_colony_167.tiff,248,59.355,0.885,63240,63240,1.388,0.720,0.938
75,7 pat p30 7 day ctrl 10x 1_colony_168.tiff,274,61.355,0.915,69870,69870,1.152,0.868,0.938
76,7 pat p30 7 day ctrl 10x 1_colony_169.tiff,248,57.941,0.928,63240,63240,1.311,0.763,0.947
77,7 pat p30 7 day ctrl 10x 1_colony_170.tiff,591,90.326,0.910,150705,150705,1.205,0.830,0.954
78,7 pat p30 7 day ctrl 10x 1_colony_171.tiff,199,51.941,0.927,50745,50745,1.206,0.829,0.926
79,7 pat p30 7 day ctrl 10x 1_colony_172.tiff,164,47.113,0.928,41820,41820,1.362,0.734,0.934
80,7 pat p30 7 day ctrl 10x 1_colony_173.tiff,177,49.698,0.901,45135,45135,1.350,0.741,0.929
81,7 pat p30 7 day ctrl 10x 1_colony_174.tiff,197,52.184,0.909,50235,50235,1.351,0.740,0.918
82,7 pat p30 7 day ctrl 10x 1_colony_175.tiff,219,55.355,0.898,55845,55845,1.336,0.748,0.928
83,7 pat p30 7 day ctrl 10x 1_colony_176.tiff,182,49.113,0.948,46410,46410,1.235,0.810,0.933
84,7 pat p30 7 day ctrl 10x 1_colony_177.tiff,219,54.284,0.934,55845,55845,1.224,0.817,0.946
85,7 pat p30 7 day ctrl 10x 1_colony_178.tiff,231,56.527,0.908,58905,58905,1.185,0.844,0.935
86,7 pat p30 7 day ctrl 10x 1_colony_179.tiff,176,49.113,0.917,44880,44880,1.262,0.792,0.917
87,7 pat p30 7 day ctrl 10x 1_colony_18.tiff,256,59.941,0.895,65280,65280,1.417,0.706,0.941
88,7 pat p30 7 day ctrl 10x 1_colony_180.tiff,176,49.113,0.917,44880,44880,1.281,0.781,0.924
89,7 pat p30 7 day ctrl 10x 1_colony_182.tiff,173,47.698,0.956,44115,44115,1.210,0.826,0.935
90,7 pat p30 7 day ctrl 10x 1_colony_183.tiff,285,61.355,0.951,72675,72675,1.135,0.881,0.947
91,7 pat p30 7 day ctrl 10x 1_colony_184.tiff,244,58.184,0.906,62220,62220,1.399,0.715,0.931
92,7 pat p30 7 day ctrl 10x 1_colony_185.tiff,206,56.770,0.803,52530,52530,1.549,0.645,0.912
93,7 pat p30 7 day ctrl 10x 1_colony_186.tiff,175,48.527,0.934,44625,44625,1.086,0.920,0.931
94,7 pat p30 7 day ctrl 10x 1_colony_187.tiff,241,57.355,0.921,61455,61455,1.221,0.819,0.936
95,7 pat p30 7 day ctrl 10x 1_colony_189.tiff,155,44.284,0.993,39525,39525,1.162,0.861,0.942
96,7 pat p30 7 day ctrl 10x 1_colony_19.tiff,219,53.941,0.946,55845,55845,1.163,0.860,0.938
97,7 pat p30 7 day ctrl 10x 1_colony_190.tiff,312,64.184,0.952,79560,79560,1.114,0.898,0.947
98,7 pat p30 7 day ctrl 10x 1_colony_191.tiff,212,53.113,0.944,54060,54060,1.258,0.795,0.938
99,7 pat p30 7 day ctrl 10x 1_colony_192.tiff,208,51.941,0.969,53040,53040,1.140,0.877,0.941
100,7 pat p30 7 day ctrl 10x 1_colony_193.tiff,257,58.770,0.935,65535,65535,1.279,0.782,0.940
101,7 pat p30 7 day ctrl 10x 1_colony_194.tiff,207,53.355,0.914,52785,52785,1.273,0.785,0.922
102,7 pat p30 7 day ctrl 10x 1_colony_195.tiff,292,63.355,0.914,74460,74460,1.294,0.773,0.942
103,7 pat p30 7 day ctrl 10x 1_colony_196.tiff,216,55.598,0.878,55080,55080,1.520,0.658,0.925
104,7 pat p30 7 day ctrl 10x 1_colony_197.tiff,387,71.841,0.942,98685,98685,1.159,0.863,0.950
105,7 pat p30 7 day ctrl 10x 1_colony_198.tiff,382,73.841,0.880,97410,97410,1.450,0.690,0.943
106,7 pat p30 7 day ctrl 10x 1_colony_199.tiff,158,46.284,0.927,40290,40290,1.248,0.801,0.927
107,7 pat p30 7 day ctrl 10x 1_colony_2.tiff,248,58.770,0.902,63240,63240,1.347,0.743,0.929
108,7 pat p30 7 day ctrl 10x 1_colony_200.tiff,181,50.184,0.903,46155,46155,1.515,0.660,0.923
109,7 pat p30 7 day ctrl 10x 1_colony_201.tiff,198,51.113,0.952,50490,50490,1.103,0.906,0.945
110,7 pat p30 7 day ctrl 10x 1_colony_203.tiff,357,69.012,0.942,91035,91035,1.202,0.832,0.955
