 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
72,7 pat p30 7 day ctrl 40x 2_colony_29.tiff,3828,235.622,0.866,976140,976140,1.318,0.759,0.974
73,7 pat p30 7 day ctrl 40x 2_colony_30.tiff,3888,237.421,0.867,991440,991440,1.410,0.709,0.973
74,7 pat p30 7 day ctrl 40x 2_colony_31.tiff,4329,245.765,0.901,1103895,1103895,1.098,0.910,0.977
75,7 pat p30 7 day ctrl 40x 2_colony_32.tiff,2751,196.066,0.899,701505,701505,1.160,0.862,0.976
76,7 pat p30 7 day ctrl 40x 2_colony_33.tiff,3727,231.037,0.877,950385,950385,1.248,0.802,0.974
77,7 pat p30 7 day ctrl 40x 2_colony_34.tiff,3615,230.894,0.852,921825,921825,1.544,0.648,0.976
78,7 pat p30 7 day ctrl 40x 2_colony_36.tiff,3768,231.480,0.884,960840,960840,1.244,0.804,0.977
79,7 pat p30 7 day ctrl 40x 2_colony_37.tiff,3558,223.865,0.892,907290,907290,1.206,0.829,0.976
80,7 pat p30 7 day ctrl 40x 3_colony_42.tiff,3996,237.966,0.887,1018980,1018980,1.236,0.809,0.977
81,7 pat p30 7 day ctrl 40x 3_colony_43.tiff,3319,215.723,0.896,846345,846345,1.256,0.796,0.978
82,7 pat p30 7 day ctrl 40x 3_colony_45.tiff,3327,217.380,0.885,848385,848385,1.364,0.733,0.978
83,7 pat p30 7 day ctrl 40x 3_colony_46.tiff,3597,233.966,0.826,917235,917235,1.549,0.646,0.969
84,7 pat p30 7 day ctrl 40x 3_colony_48.tiff,3972,240.936,0.860,1012860,1012860,1.335,0.749,0.966
85,7 pat p30 7 day ctrl 40x 3_colony_50.tiff,4716,259.522,0.880,1202580,1202580,1.274,0.785,0.979
86,7 pat p30 7 day ctrl 40x 3_colony_51.tiff,7356,320.635,0.899,1875780,1875780,1.166,0.858,0.982
87,7 pat p30 7 day ctrl 40x 3_colony_52.tiff,3659,232.007,0.854,933045,933045,1.503,0.665,0.973
88,7 pat p30 7 day ctrl 40x 3_colony_53.tiff,3650,227.723,0.884,930750,930750,1.198,0.835,0.975
